n,k,kref,theta,p,dt,t,infidelity,S_op,chi_mpdo,sat
8,10,1000,0.100000,0.050000,0.200000,2.000000,1.763579e-02,2.29023716,127,false
8,10,1000,0.200000,0.050000,0.400000,4.000000,1.857305e-02,3.47484153,203,false
8,10,1000,0.350000,0.050000,0.700000,7.000000,2.236924e-02,3.60144086,202,false
8,10,1000,0.500000,0.050000,1.000000,10.000000,9.489536e-02,3.74101168,225,false
8,10,1000,0.650000,0.050000,1.300000,13.000000,8.822671e-02,4.08187802,233,false
8,10,1000,0.800000,0.050000,1.600000,16.000000,1.186834e-01,4.43675461,240,false
8,10,1000,0.950000,0.050000,1.900000,19.000000,1.367189e-01,5.30624257,253,true
8,10,1000,1.100000,0.050000,2.200000,22.000000,1.937161e-01,5.26195715,255,true
8,10,1000,1.250000,0.050000,2.500000,25.000000,3.564360e-01,3.83108739,229,false
8,10,1000,1.400000,0.050000,2.800000,28.000000,5.208118e-01,2.13138110,162,false
8,10,1000,1.570800,0.050000,3.141600,31.416000,7.259722e-01,0.00000004,1,false
8,10,1000,1.700000,0.050000,3.400000,34.000000,6.117550e-01,1.43723760,131,false
8,10,1000,1.900000,0.050000,3.800000,38.000000,3.206633e-01,3.58688072,229,false
8,10,1000,2.100000,0.050000,4.200000,42.000000,1.803385e-01,4.99944522,245,false
8,10,1000,2.400000,0.050000,4.800000,48.000000,1.196582e-01,4.33764163,226,false
8,10,1000,2.700000,0.050000,5.400000,54.000000,5.579289e-01,2.58868751,166,false
8,10,1000,3.000000,0.050000,6.000000,60.000000,7.317685e-01,2.32609248,101,false
