n,k,kref,theta,p,dt,t,infidelity_dZ,infidelity_HS,trace_distance,S_op,chi_mpdo,sat
8,10,1000,0.100000,0.050000,0.200000,2.000000,2.890248e-02,1.358436e-01,0.083932,1.81302820,78,false
8,10,1000,0.200000,0.050000,0.400000,4.000000,2.163303e-02,2.603609e-01,0.141566,2.94238760,224,true
8,10,1000,0.350000,0.050000,0.700000,7.000000,1.831332e-02,4.639865e-01,0.224236,4.02483518,243,true
8,10,1000,0.500000,0.050000,1.000000,10.000000,4.366102e-02,7.916867e-01,0.346588,4.55099382,248,true
8,10,1000,0.650000,0.050000,1.300000,13.000000,7.318894e-02,1.100845e+00,0.450812,4.95259343,248,true
8,10,1000,0.800000,0.050000,1.600000,16.000000,7.094723e-02,1.184602e+00,0.483862,5.14076379,249,true
8,10,1000,0.950000,0.050000,1.900000,19.000000,6.247469e-02,1.216330e+00,0.492891,5.38791632,249,true
8,10,1000,1.100000,0.050000,2.200000,22.000000,9.204718e-02,1.219313e+00,0.498184,5.27810678,249,true
8,10,1000,1.250000,0.050000,2.500000,25.000000,1.218661e-01,1.204638e+00,0.495660,4.71196287,246,true
8,10,1000,1.400000,0.050000,2.800000,28.000000,2.816984e-01,1.212149e+00,0.509709,3.89639682,239,true
8,10,1000,1.570800,0.050000,3.141600,31.416000,6.034382e-01,1.304899e+00,0.583025,3.77879249,247,true
8,10,1000,1.700000,0.050000,3.400000,34.000000,2.027283e-01,1.212613e+00,0.493920,3.62868207,240,true
8,10,1000,1.900000,0.050000,3.800000,38.000000,1.147331e-01,1.244479e+00,0.481789,4.62707920,247,true
8,10,1000,2.100000,0.050000,4.200000,42.000000,6.257232e-02,1.492327e+00,0.571899,4.04082528,240,true
8,10,1000,2.400000,0.050000,4.800000,48.000000,8.289280e-02,1.225157e+00,0.434773,4.89460053,248,true
8,10,1000,2.700000,0.050000,5.400000,54.000000,1.630759e-01,1.318134e+00,0.481583,4.64795290,246,true
8,10,1000,3.000000,0.050000,6.000000,60.000000,2.307064e-01,1.681548e+00,0.634542,2.75932192,161,false
