n,k,theta,p,Jt,gamma_t,mz,zz_nn,zz_half,zz_end,err_mz,err_zz_nn,err_zz_half,err_zz_end,err_z_max
10,2,4.750000,0.226219,4.750000,0.512933,0.36308779,0.07352490,0.16465471,0.60020805,1.380166e-07,2.169429e-02,4.064062e-02,4.819621e-01,6.136270e-01
10,3,3.166667,0.157160,4.750000,0.512933,0.36308786,0.08614061,0.06468603,0.01892053,2.133796e-07,9.078583e-03,5.932805e-02,9.932537e-02,5.634302e-01
10,4,2.375000,0.120352,4.750000,0.512933,0.36308780,0.10023100,0.11204135,0.08858865,1.443885e-07,5.011806e-03,1.197273e-02,2.965726e-02,1.177902e-01
10,5,1.900000,0.097500,4.750000,0.512933,0.36308779,0.13303780,0.06468339,0.01803835,1.407280e-07,3.781861e-02,5.933070e-02,1.002076e-01,2.703331e-01
10,6,1.583333,0.081937,4.750000,0.512933,0.36308779,0.13785439,0.08372517,0.34012561,1.383186e-07,4.263520e-02,4.028892e-02,2.218797e-01,5.597659e-01
10,8,1.187500,0.062104,4.750000,0.512933,0.36308779,0.11460925,0.13700416,0.12310976,1.381953e-07,1.939006e-02,1.299008e-02,4.863855e-03,2.863375e-01
10,10,0.950000,0.050000,4.750000,0.512933,0.36308779,0.11438564,0.09272167,0.10132628,1.401640e-07,1.916645e-02,3.129242e-02,1.691962e-02,7.742787e-02
10,14,0.678571,0.035975,4.750000,0.512933,0.36308778,0.10525521,0.11475750,0.10144413,1.265959e-07,1.003602e-02,9.256583e-03,1.680178e-02,4.324926e-02
10,20,0.475000,0.025321,4.750000,0.512933,0.36308774,0.10263601,0.12436900,0.10955370,8.604016e-08,7.416821e-03,3.549163e-04,8.692205e-03,2.209904e-02
10,30,0.316667,0.016952,4.750000,0.512933,0.36308768,0.09763694,0.12470119,0.11420981,2.925625e-08,2.417752e-03,6.870993e-04,4.036095e-03,1.349864e-02
