n,k,theta,p,dt,t,total_damping,S_traj_mean,S_traj_p95,chi_mean,chi_sem,chi_max,chi3_mean,censored,saturated,wall_s,S_op_mpdo,chi_mpdo,sat_mpdo
16,10,0.200000,0.000000,0.400000,4.000000,0.000000,2.732659,2.732659,54.0000,0.0000,54,1.574640e+05,false,false,26.69,NaN,0,false
16,10,0.200000,0.005000,0.400000,4.000000,0.048890,2.709597,2.742533,51.2812,0.7271,54,1.372390e+05,false,false,15.85,NaN,0,false
16,10,0.200000,0.010000,0.400000,4.000000,0.095618,2.667135,2.747201,49.2188,1.0604,53,1.240928e+05,false,false,11.76,NaN,0,false
16,10,0.200000,0.020000,0.400000,4.000000,0.182927,2.622496,2.748660,45.7188,1.3215,53,1.025370e+05,false,false,11.19,NaN,0,false
16,10,0.200000,0.035000,0.400000,4.000000,0.299718,2.445708,2.708086,39.2812,1.5691,52,6.912666e+04,false,false,10.28,NaN,0,false
16,10,0.200000,0.050000,0.400000,4.000000,0.401263,2.239375,2.558458,33.7188,1.5883,49,4.627853e+04,false,false,9.59,NaN,0,false
16,10,0.200000,0.080000,0.400000,4.000000,0.565612,1.766508,2.266487,25.1562,1.4736,44,2.118491e+04,false,false,8.10,NaN,0,false
16,10,0.200000,0.120000,0.400000,4.000000,0.721499,1.189600,1.636145,17.9062,1.0301,29,7.506656e+03,false,false,7.00,NaN,0,false
16,10,0.200000,0.200000,0.400000,4.000000,0.892626,0.456248,1.122011,10.4375,0.6552,18,1.582625e+03,false,false,5.46,NaN,0,false
16,10,0.350000,0.000000,0.700000,7.000000,0.000000,4.338662,4.338662,203.0000,0.0000,203,8.365427e+06,false,false,22.75,NaN,0,false
16,10,0.350000,0.005000,0.700000,7.000000,0.048890,4.287182,4.352987,195.5312,4.0944,203,7.739158e+06,false,false,35.59,NaN,0,false
16,10,0.350000,0.010000,0.700000,7.000000,0.095618,4.180155,4.361027,179.3125,6.0923,203,6.341084e+06,false,false,33.24,NaN,0,false
16,10,0.350000,0.020000,0.700000,7.000000,0.182927,4.031903,4.357299,160.4688,7.3258,203,4.894729e+06,false,false,30.54,NaN,0,false
16,10,0.350000,0.035000,0.700000,7.000000,0.299718,3.712717,4.247629,127.9375,6.7013,190,2.630861e+06,false,false,26.41,NaN,0,false
16,10,0.350000,0.050000,0.700000,7.000000,0.401263,3.397888,4.095974,108.5625,6.2979,179,1.685436e+06,false,false,24.25,NaN,0,false
16,10,0.350000,0.080000,0.700000,7.000000,0.565612,2.629469,3.369771,74.5312,5.5115,165,6.538163e+05,false,false,18.40,NaN,0,false
16,10,0.350000,0.120000,0.700000,7.000000,0.721499,1.677472,2.460188,50.0625,4.4355,106,2.272633e+05,false,false,14.68,NaN,0,false
16,10,0.350000,0.200000,0.700000,7.000000,0.892626,0.664209,1.239078,22.4375,1.7332,41,1.768062e+04,false,false,10.22,NaN,0,false
16,10,0.500000,0.000000,1.000000,10.000000,0.000000,5.521051,5.521051,240.0000,0.0000,240,1.382400e+07,false,false,33.23,NaN,0,false
16,10,0.500000,0.005000,1.000000,10.000000,0.048890,5.468836,5.536020,232.2500,4.9589,240,1.298294e+07,false,false,52.10,NaN,0,false
16,10,0.500000,0.010000,1.000000,10.000000,0.095618,5.357927,5.543934,216.4062,7.7456,241,1.121690e+07,false,false,52.09,NaN,0,false
16,10,0.500000,0.020000,1.000000,10.000000,0.182927,5.142689,5.537755,199.0312,9.2727,240,9.359311e+06,false,false,50.69,NaN,0,false
16,10,0.500000,0.035000,1.000000,10.000000,0.299718,4.664013,5.294583,164.9062,8.9526,232,5.720945e+06,false,false,42.85,NaN,0,false
16,10,0.500000,0.050000,1.000000,10.000000,0.401263,4.260251,5.084963,145.1250,8.8231,229,4.134580e+06,false,false,38.94,NaN,0,false
