n,k,theta,p,dt,t,total_damping,S_traj_mean,S_traj_p95,chi_mean,chi_sem,chi_max,chi3_mean,censored,saturated,wall_s,S_op_mpdo,chi_mpdo,sat_mpdo
8,10,0.200000,0.000000,0.400000,4.000000,0.000000,2.298787,2.298787,16.0000,0.0000,16,4.096000e+03,false,false,17.92,NaN,0,false
8,10,0.200000,0.005000,0.400000,4.000000,0.048890,2.255987,2.290826,15.9375,0.0435,16,4.050938e+03,false,false,3.14,NaN,0,false
8,10,0.200000,0.010000,0.400000,4.000000,0.095618,2.172729,2.279998,15.4062,0.3074,16,3.774594e+03,false,false,1.64,NaN,0,false
8,10,0.200000,0.020000,0.400000,4.000000,0.182927,1.980297,2.249514,14.9688,0.3404,16,3.499656e+03,false,false,1.56,NaN,0,false
8,10,0.200000,0.035000,0.400000,4.000000,0.299718,1.819523,2.181406,13.4062,0.5057,16,2.706656e+03,false,false,1.58,NaN,0,false
8,10,0.200000,0.050000,0.400000,4.000000,0.401263,1.591805,2.087037,12.3125,0.5687,16,2.220500e+03,false,false,1.53,NaN,0,false
8,10,0.200000,0.080000,0.400000,4.000000,0.565612,1.218935,1.673092,11.0625,0.5696,16,1.684500e+03,false,false,1.47,NaN,0,false
8,10,0.200000,0.120000,0.400000,4.000000,0.721499,0.763309,1.215385,9.1875,0.5452,15,1.039875e+03,false,false,1.39,NaN,0,false
8,10,0.200000,0.200000,0.400000,4.000000,0.892626,0.246338,0.692805,6.0938,0.3459,11,2.984062e+02,false,false,1.21,NaN,0,false
8,10,0.350000,0.000000,0.700000,7.000000,0.000000,2.775055,2.775055,16.0000,0.0000,16,4.096000e+03,false,false,1.04,NaN,0,false
8,10,0.350000,0.005000,0.700000,7.000000,0.048890,2.751831,2.803084,16.0000,0.0000,16,4.096000e+03,false,false,1.74,NaN,0,false
8,10,0.350000,0.010000,0.700000,7.000000,0.095618,2.638186,2.763960,15.6562,0.2564,16,3.919219e+03,false,false,1.69,NaN,0,false
8,10,0.350000,0.020000,0.700000,7.000000,0.182927,2.525259,2.769523,15.5000,0.2656,16,3.812188e+03,false,false,1.66,NaN,0,false
8,10,0.350000,0.035000,0.700000,7.000000,0.299718,2.236903,2.682532,14.4688,0.4579,16,3.279031e+03,false,false,1.64,NaN,0,false
8,10,0.350000,0.050000,0.700000,7.000000,0.401263,2.049077,2.596679,13.6562,0.5324,16,2.877531e+03,false,false,1.62,NaN,0,false
8,10,0.350000,0.080000,0.700000,7.000000,0.565612,1.598517,2.238099,12.5625,0.5679,16,2.340188e+03,false,false,1.59,NaN,0,false
8,10,0.350000,0.120000,0.700000,7.000000,0.721499,0.970815,1.658790,10.2812,0.5279,15,1.360656e+03,false,false,1.57,NaN,0,false
8,10,0.350000,0.200000,0.700000,7.000000,0.892626,0.355045,1.101434,8.1875,0.4989,13,7.351250e+02,false,false,1.43,NaN,0,false
8,10,0.500000,0.000000,1.000000,10.000000,0.000000,2.952328,2.952328,16.0000,0.0000,16,4.096000e+03,false,false,1.04,NaN,0,false
8,10,0.500000,0.005000,1.000000,10.000000,0.048890,2.916951,2.954032,15.9688,0.0312,16,4.073469e+03,false,false,1.72,NaN,0,false
8,10,0.500000,0.010000,1.000000,10.000000,0.095618,2.860408,2.952808,15.7188,0.2509,16,3.961469e+03,false,false,1.71,NaN,0,false
