n,k,theta,p,dt,t,gamma_over_J,S_op,chi_mpdo,linkdim,trace,sat_mpdo,S_traj_mean,S_traj_p95,chi_traj_mean,chi_traj_sem,chi_traj_max,sat_traj,wall_s
16,10,0.100000,0.050000,0.200000,2.000000,1.025866,2.28801618,137,256,0.99998513,true,1.44814782,1.72446566,11.3750,0.2964,16,false,4.75
16,10,0.200000,0.050000,0.400000,4.000000,0.512933,4.05816260,256,256,0.99741450,true,2.11114081,2.87195549,30.1953,1.3338,74,false,6.56
16,10,0.350000,0.050000,0.700000,7.000000,0.293105,4.60290524,256,256,0.88903613,true,2.91327695,3.70274518,60.6250,3.3427,172,false,13.19
16,10,0.500000,0.050000,1.000000,10.000000,0.205173,4.20765960,256,256,0.72874197,true,3.35164340,4.22875338,68.0078,3.8350,183,false,18.09
16,10,0.650000,0.050000,1.300000,13.000000,0.157826,4.33009554,256,256,0.47471698,true,3.74903378,4.70530923,73.6641,4.1893,210,false,21.25
16,10,0.800000,0.050000,1.600000,16.000000,0.128233,4.04249795,256,256,0.22490060,true,4.07132518,5.07630773,75.1406,4.5973,231,true,21.89
16,10,0.950000,0.050000,1.900000,19.000000,0.107986,4.80041439,256,256,0.24637888,true,4.17456981,5.34664692,73.0625,4.6242,244,true,21.67
16,10,1.100000,0.050000,2.200000,22.000000,0.093261,4.73110069,256,256,0.44181991,true,4.01397022,4.99132511,77.1562,4.7188,248,true,22.27
16,10,1.250000,0.050000,2.500000,25.000000,0.082069,3.73370640,256,256,0.72473798,true,3.17945998,3.92255623,65.7422,3.7770,207,true,20.99
16,10,1.400000,0.050000,2.800000,28.000000,0.073276,2.81248623,256,256,0.94391551,true,2.17245595,2.70581167,45.4219,2.1183,111,false,18.47
16,10,1.570800,0.050000,3.141600,31.416000,0.065308,0.00000002,1,11,1.00000000,false,0.00000000,0.00000000,1.0000,0.0000,1,false,0.98
16,10,1.700000,0.050000,3.400000,34.000000,0.060345,1.43000616,255,256,0.97430307,true,1.34823102,1.81510423,30.2500,1.1877,58,false,15.01
16,10,1.900000,0.050000,3.800000,38.000000,0.053993,3.52342320,256,256,0.75461660,true,2.64068189,3.17491171,59.8672,3.0019,136,false,21.66
16,10,2.100000,0.050000,4.200000,42.000000,0.048851,5.01998201,256,256,0.36606299,true,3.92328241,4.87204027,74.1875,4.4123,231,true,22.93
16,10,2.400000,0.050000,4.800000,48.000000,0.042744,4.35834634,256,256,0.29886335,true,3.88497981,4.85123285,74.2422,4.4059,221,false,22.33
16,10,2.700000,0.050000,5.400000,54.000000,0.037995,3.65323093,256,256,0.83809396,true,2.78750214,3.73846349,59.6016,3.2677,164,false,16.61
16,10,3.000000,0.050000,6.000000,60.000000,0.034196,3.03974909,252,256,0.99996354,true,1.70304324,2.27812140,17.0234,0.5852,32,false,4.66
