n,k,theta,p,dt,t,gamma_over_J,S_op,chi_mpdo,linkdim,trace,sat_mpdo,S_traj_mean,S_traj_p95,chi_traj_mean,chi_traj_sem,chi_traj_max,sat_traj,wall_s
24,10,0.100000,0.050000,0.200000,2.000000,1.025866,1.23988957,48,256,0.99997939,true,0.91632772,0.95674938,10.2344,0.1062,11,false,8.68
24,10,0.200000,0.050000,0.400000,4.000000,0.512933,2.74625410,250,256,0.99945153,true,1.61763448,1.76060599,33.0469,0.3867,38,false,14.19
24,10,0.350000,0.050000,0.700000,7.000000,0.293105,3.60737702,256,256,0.95293747,true,2.42376669,2.76340129,151.0781,2.6550,186,true,101.64
24,10,0.500000,0.050000,1.000000,10.000000,0.205173,4.27552635,256,256,0.79174795,true,3.27639780,3.64062925,249.6719,0.7001,255,true,202.02
24,10,0.650000,0.050000,1.300000,13.000000,0.157826,4.31248389,256,256,0.54595523,true,4.10750690,4.59330114,255.7812,0.0931,256,true,248.16
24,10,0.800000,0.050000,1.600000,16.000000,0.128233,4.86922696,256,256,0.31304073,true,4.93583269,5.47948378,255.9688,0.0312,256,true,256.72
24,10,0.950000,0.050000,1.900000,19.000000,0.107986,4.86681546,256,256,0.14265202,true,5.58575982,6.11869991,255.9844,0.0156,256,true,258.29
24,10,1.100000,0.050000,2.200000,22.000000,0.093261,5.20842536,256,256,0.05655676,true,6.24768030,6.69423849,256.0000,0.0000,256,true,257.75
24,10,1.250000,0.050000,2.500000,25.000000,0.082069,4.77671111,256,256,0.02458105,true,6.31685108,6.76652905,256.0000,0.0000,256,true,257.26
24,10,1.400000,0.050000,2.800000,28.000000,0.073276,4.65157784,256,256,0.01087925,true,5.84721803,6.44984175,255.9219,0.0781,256,true,259.09
24,10,1.570800,0.050000,3.141600,31.416000,0.065308,2.57404159,256,256,0.07080369,true,4.16883944,4.71008892,199.8594,11.5962,256,true,149.83
24,10,1.700000,0.050000,3.400000,34.000000,0.060345,4.24565168,256,256,0.01359662,true,5.58159094,6.20059420,255.3594,0.4133,256,true,250.60
24,10,1.900000,0.050000,3.800000,38.000000,0.053993,4.71147507,256,256,0.02924109,true,6.15674312,6.65717558,256.0000,0.0000,256,true,252.84
24,10,2.100000,0.050000,4.200000,42.000000,0.048851,5.74590733,256,256,0.08803294,true,5.83967452,6.31865814,255.9844,0.0156,256,true,250.33
24,10,2.400000,0.050000,4.800000,48.000000,0.042744,5.21368435,256,256,0.32991618,true,4.96482269,5.38318890,255.9531,0.0347,256,true,251.15
24,10,2.700000,0.050000,5.400000,54.000000,0.037995,4.42909338,256,256,0.84701967,true,3.04717990,3.31881947,237.9688,1.3850,249,true,170.69
24,10,3.000000,0.050000,6.000000,60.000000,0.034196,2.20884193,138,256,0.99999854,true,1.32313508,1.43353180,17.1719,0.2036,19,false,8.39
