n,k,theta,p,dt,t,gamma_over_J,S_op,chi_mpdo,linkdim,trace,sat_mpdo,S_traj_mean,S_traj_p95,chi_traj_mean,chi_traj_sem,chi_traj_max,sat_traj,wall_s
24,10,0.100000,0.050000,0.200000,2.000000,1.025866,2.32948462,96,256,0.99997963,true,1.34900324,1.46963876,11.9375,0.1619,14,false,9.05
24,10,0.200000,0.050000,0.400000,4.000000,0.512933,4.26408087,256,256,0.98926208,true,2.42085484,2.68399114,42.3594,0.9740,57,false,15.48
24,10,0.350000,0.050000,0.700000,7.000000,0.293105,5.77769478,256,256,0.72308397,true,3.83356577,4.37258687,196.6875,4.4090,243,true,112.89
24,10,0.500000,0.050000,1.000000,10.000000,0.205173,5.34558649,256,256,0.37571923,true,5.10794351,5.75108458,254.4688,0.7833,256,true,199.59
24,10,0.650000,0.050000,1.300000,13.000000,0.157826,5.00972001,256,256,0.17359788,true,6.04879477,6.55399016,256.0000,0.0000,256,true,232.44
24,10,0.800000,0.050000,1.600000,16.000000,0.128233,5.25828721,256,256,0.08572430,true,6.42332408,6.86832282,256.0000,0.0000,256,true,242.99
24,10,0.950000,0.050000,1.900000,19.000000,0.107986,5.38351337,256,256,0.12278616,true,6.24493764,6.68579570,256.0000,0.0000,256,true,240.54
24,10,1.100000,0.050000,2.200000,22.000000,0.093261,5.27164910,256,256,0.17590310,true,6.04432989,6.55056011,256.0000,0.0000,256,true,241.48
24,10,1.250000,0.050000,2.500000,25.000000,0.082069,5.12837369,256,256,0.15515806,true,5.96958674,6.61225230,255.9062,0.0533,256,true,244.42
24,10,1.400000,0.050000,2.800000,28.000000,0.073276,4.37293090,256,256,0.20973962,true,5.10912003,5.87458636,255.0469,0.3601,256,true,246.17
24,10,1.570800,0.050000,3.141600,31.416000,0.065308,2.56556504,256,256,0.40089524,true,3.11909282,3.87204489,96.6406,8.1575,220,true,114.32
24,10,1.700000,0.050000,3.400000,34.000000,0.060345,3.85659628,256,256,0.22911582,true,5.02618066,5.87947419,253.8125,0.8654,256,true,245.95
24,10,1.900000,0.050000,3.800000,38.000000,0.053993,5.30376875,256,256,0.15681780,true,5.93702953,6.51070219,255.9688,0.0312,256,true,248.57
24,10,2.100000,0.050000,4.200000,42.000000,0.048851,5.58018704,256,256,0.20228017,true,5.86141265,6.48601088,255.9844,0.0156,256,true,243.87
24,10,2.400000,0.050000,4.800000,48.000000,0.042744,5.46773944,256,256,0.12569468,true,6.23369229,6.69768535,256.0000,0.0000,256,true,241.97
24,10,2.700000,0.050000,5.400000,54.000000,0.037995,5.31468548,256,256,0.54930730,true,4.41672271,4.99142718,249.2656,0.8672,256,true,173.91
24,10,3.000000,0.050000,6.000000,60.000000,0.034196,3.01645163,236,256,0.99977419,true,1.72564045,1.85746526,20.0156,0.3848,24,false,8.77
