n,k,theta,p,dt,t,gamma_over_J,S_op,chi_mpdo,linkdim,trace,sat_mpdo,S_traj_mean,S_traj_p95,chi_traj_mean,chi_traj_sem,chi_traj_max,sat_traj,wall_s
16,10,0.100000,0.050000,0.200000,2.000000,1.025866,1.23972173,48,256,0.99998728,true,0.89237394,0.95790567,9.8750,0.0845,11,false,5.65
16,10,0.200000,0.050000,0.400000,4.000000,0.512933,2.73783238,250,256,0.99977476,true,1.52897900,1.73229453,29.2578,0.4434,37,false,8.09
16,10,0.350000,0.050000,0.700000,7.000000,0.293105,3.53648653,256,256,0.98017047,true,2.20236558,2.51258636,97.0781,2.4553,156,false,20.94
16,10,0.500000,0.050000,1.000000,10.000000,0.205173,4.34347224,256,256,0.90881837,true,2.89378843,3.32163722,142.6484,3.7488,218,true,33.12
16,10,0.650000,0.050000,1.300000,13.000000,0.157826,4.56796025,256,256,0.77008461,true,3.47736042,4.11973211,156.8594,4.2525,233,true,36.55
16,10,0.800000,0.050000,1.600000,16.000000,0.128233,4.79035831,256,256,0.57615301,true,4.02561696,4.72068264,168.3203,4.6785,240,true,39.28
16,10,0.950000,0.050000,1.900000,19.000000,0.107986,4.86722574,256,256,0.36597217,true,4.45215844,5.10056526,170.0391,4.7667,243,true,39.98
16,10,1.100000,0.050000,2.200000,22.000000,0.093261,5.28922490,256,256,0.22159176,true,4.82808072,5.45641490,169.6953,4.7197,245,true,40.83
16,10,1.250000,0.050000,2.500000,25.000000,0.082069,5.17681559,256,256,0.14628534,true,4.79177751,5.54626213,161.2344,4.4349,242,true,39.95
16,10,1.400000,0.050000,2.800000,28.000000,0.073276,4.82273825,256,256,0.09482455,true,4.51785018,5.51032869,140.4531,4.0148,233,true,37.82
16,10,1.570800,0.050000,3.141600,31.416000,0.065308,2.77865083,256,256,0.39806647,true,3.78832585,4.64550454,18.5312,0.7760,32,false,8.67
16,10,1.700000,0.050000,3.400000,34.000000,0.060345,4.51713144,256,256,0.11294977,true,4.05533984,4.89210156,122.4297,3.4650,204,true,35.94
16,10,1.900000,0.050000,3.800000,38.000000,0.053993,5.05942364,256,256,0.16213409,true,4.24708746,4.89299521,159.1641,4.1931,233,true,40.46
16,10,2.100000,0.050000,4.200000,42.000000,0.048851,5.21046960,256,256,0.29038671,true,4.03489840,4.63655543,165.0469,4.3993,237,true,40.46
16,10,2.400000,0.050000,4.800000,48.000000,0.042744,5.26736920,256,256,0.54501324,true,4.12501096,4.63934846,165.2188,4.6030,240,true,39.21
16,10,2.700000,0.050000,5.400000,54.000000,0.037995,4.69247827,256,256,0.91486309,true,2.86110766,3.24698545,126.5938,3.4785,204,true,27.76
16,10,3.000000,0.050000,6.000000,60.000000,0.034196,2.20880341,138,256,0.99999543,true,1.29255082,1.43794844,16.1328,0.1890,19,false,5.29
