n,k,theta,p,dt,t,gamma_over_J,S_op,chi_mpdo,linkdim,trace,sat_mpdo,S_traj_mean,S_traj_p95,chi_traj_mean,chi_traj_sem,chi_traj_max,sat_traj,wall_s
16,10,0.100000,0.050000,0.200000,2.000000,1.025866,2.33162839,96,256,0.99998667,true,1.28956308,1.43135068,11.1641,0.1437,13,false,4.90
16,10,0.200000,0.050000,0.400000,4.000000,0.512933,4.13781033,256,256,0.99514768,true,2.25149034,2.61671557,35.5078,0.8031,54,false,7.37
16,10,0.350000,0.050000,0.700000,7.000000,0.293105,5.39563419,256,256,0.86648076,true,3.39920499,4.10691622,109.5156,3.3240,201,true,19.66
16,10,0.500000,0.050000,1.000000,10.000000,0.205173,5.53564846,256,256,0.64454412,true,4.31359770,5.14231142,146.0156,4.4414,239,true,29.87
16,10,0.650000,0.050000,1.300000,13.000000,0.157826,5.23285586,256,256,0.44132302,true,4.81521778,5.64445222,161.8984,4.6896,247,true,35.17
16,10,0.800000,0.050000,1.600000,16.000000,0.128233,5.31470284,256,256,0.30207612,true,5.01930034,5.74947671,167.2188,4.8199,248,true,37.44
16,10,0.950000,0.050000,1.900000,19.000000,0.107986,5.39866709,256,256,0.31858943,true,4.82780587,5.50611997,167.7656,4.8290,249,true,37.51
16,10,1.100000,0.050000,2.200000,22.000000,0.093261,5.63765903,256,256,0.38826872,true,4.57593537,5.23154486,164.4531,4.7851,246,true,37.25
16,10,1.250000,0.050000,2.500000,25.000000,0.082069,5.27885905,256,256,0.39663498,true,4.35854611,5.05887224,159.4453,4.7054,239,true,37.21
16,10,1.400000,0.050000,2.800000,28.000000,0.073276,5.31912067,256,256,0.45346652,true,3.85689085,4.73128820,131.6562,4.0468,218,true,34.62
16,10,1.570800,0.050000,3.141600,31.416000,0.065308,4.12908813,256,256,0.58807110,true,3.01618919,3.99300375,17.4688,0.7985,32,false,7.54
16,10,1.700000,0.050000,3.400000,34.000000,0.060345,4.94859709,256,256,0.41882075,true,3.49737974,4.14619603,109.0156,3.2419,189,true,32.80
16,10,1.900000,0.050000,3.800000,38.000000,0.053993,5.62702237,256,256,0.36368248,true,4.20711997,4.86358483,150.7344,4.2570,239,true,36.47
16,10,2.100000,0.050000,4.200000,42.000000,0.048851,5.08822083,256,256,0.48270226,true,3.98512844,4.65449210,162.6719,4.4452,233,true,37.86
16,10,2.400000,0.050000,4.800000,48.000000,0.042744,5.30924383,256,256,0.36568302,true,5.03297815,5.90630906,168.2500,4.8981,250,true,36.12
16,10,2.700000,0.050000,5.400000,54.000000,0.037995,5.42859879,256,256,0.77009849,true,3.80278157,4.56828856,130.2188,3.8796,227,true,25.10
16,10,3.000000,0.050000,6.000000,60.000000,0.034196,3.02309216,226,256,0.99990970,true,1.64724594,1.84121318,17.2500,0.3096,24,false,4.67
