maxdim,route,c1,c2,dc_max,dc_vs_lagrange,maxdim_G,c1_free,signal
16,M,0.30550577,0.69449423,4.50309188e-01,4.50302311e-01,16,-0.15909091,1.42874905e-02
16,N,-0.34410761,1.34410761,1.99304195e-01,1.99311072e-01,16,-0.15909091,1.42874905e-02
32,M,0.10100558,0.89899442,2.45808997e-01,2.45802120e-01,32,-0.15909091,1.42874905e-02
32,N,-0.13117652,1.13117652,1.36268948e-02,1.36200178e-02,32,-0.15909091,1.42874905e-02
48,M,0.18984716,0.81015284,3.34650575e-01,3.34643698e-01,48,-0.15909091,1.42874905e-02
48,N,-0.13262488,1.13262488,1.21785368e-02,1.21716598e-02,48,-0.15909091,1.42874905e-02
64,M,-0.05378197,1.05378197,9.10214488e-02,9.10145718e-02,64,-0.15909091,1.42874905e-02
64,N,-0.14772989,1.14772989,2.92646903e-03,2.93334607e-03,64,-0.15909091,1.42874905e-02
96,M,-10.80184172,11.80184172,1.06570383e+01,1.06570452e+01,96,-0.15909091,1.42874905e-02
96,N,-0.15145285,1.15145285,6.64942984e-03,6.65630689e-03,96,-0.15909091,1.42874905e-02
128,M,-0.14530467,1.14530467,5.01254284e-04,5.08131332e-04,128,-0.15909091,1.42874905e-02
128,N,-0.12656898,1.12656898,1.82344433e-02,1.82275662e-02,128,-0.15909091,1.42874905e-02
192,M,-0.07654876,1.07654876,6.82546590e-02,6.82477819e-02,192,-0.15909091,1.42874905e-02
192,N,-0.14519451,1.14519451,3.91092189e-04,3.97969237e-04,192,-0.15909091,1.42874905e-02
256,M,-0.14479654,1.14479654,6.87704827e-06,0.00000000e+00,256,-0.15909091,1.42874905e-02
256,N,-0.14480973,1.14480973,6.30969089e-06,1.31867392e-05,256,-0.15909091,1.42874905e-02
