maxdim,route,c1,c2,dc_max,dc_vs_lagrange,maxdim_G,c1_free,signal
48,M,-0.17183932,1.17183932,3.56344057e-02,8.04697024e-02,48,-0.15909091,2.28859942e-02
48,N,-0.14236670,1.14236670,6.16178631e-03,5.09970830e-02,48,-0.15909091,2.28859942e-02
64,M,0.13067937,0.86932063,2.66884288e-01,2.22048992e-01,64,-0.15909091,2.28859942e-02
64,N,-0.14469451,1.14469451,8.48959691e-03,5.33248936e-02,64,-0.15909091,2.28859942e-02
96,M,0.04786205,0.95213795,1.84066962e-01,1.39231665e-01,96,-0.15909091,2.28859942e-02
96,N,-0.14490303,1.14490303,8.69811200e-03,5.35334087e-02,96,-0.15909091,2.28859942e-02
128,M,0.02619119,0.97380881,1.62396107e-01,1.17560810e-01,128,-0.15909091,2.28859942e-02
128,N,-0.13389100,1.13389100,2.31390996e-03,4.25213867e-02,128,-0.15909091,2.28859942e-02
192,M,-0.09136962,1.09136962,4.48352967e-02,0.00000000e+00,192,-0.15909091,2.28859942e-02
192,N,-0.13170354,1.13170354,4.50137798e-03,4.03339187e-02,192,-0.15909091,2.28859942e-02
