maxdim,maxdim_G,route,E_mpf,E_k3,E_k8,N12,lambda_min,resolved,time_s
16,16,M,-1.89246612e-03,1.13442919e-02,6.68967922e-04,-7.71527322e-03,-3.37505844e-03,no,4.9
16,16,N,2.41912756e-03,1.25968861e-01,1.05168390e-02,3.40493360e-02,1.22307955e-03,yes,15.6
32,32,M,-1.24046025e-03,5.15341380e-03,-1.15987606e-03,-1.95883728e-03,-1.71796045e-03,no,10.1
32,32,N,2.67126059e-04,1.64918063e-02,4.85312428e-04,2.14861591e-03,2.01912765e-04,yes,23.2
48,48,M,-8.41330369e-03,4.07281099e-03,-7.72882123e-03,-1.13392372e-02,-1.46085180e-02,no,12.2
48,48,N,2.43045586e-14,1.84364586e-02,2.23423688e-04,2.16230605e-03,-2.97718660e-05,no,38.4
64,64,M,-6.23795357e-03,7.03112911e-03,-6.20339719e-03,-5.56073815e-03,-8.22966995e-03,no,14.7
64,64,N,2.20950984e-14,1.62308692e-02,2.63662048e-04,2.08984023e-03,-5.33143775e-06,no,56.1
96,96,M,-5.24932264e-02,1.36601828e-02,2.92316614e-03,8.05483659e-03,-1.38768579e-03,no,20.6
96,96,N,4.78063063e-06,1.46404990e-02,2.57988161e-04,1.92984533e-03,3.54297458e-06,yes,109.2
128,128,M,9.48544823e-03,2.26899623e-02,9.69804389e-03,1.11607034e-02,3.28029977e-03,yes,29.1
128,128,N,6.71511112e-05,1.50403000e-02,2.56146887e-04,1.74937044e-03,5.19682625e-05,yes,207.9
192,192,M,2.25627772e-03,1.39116512e-02,2.31525693e-03,3.08504128e-03,1.54544729e-03,yes,46.5
192,192,N,4.29362349e-05,1.33789962e-02,2.57308907e-04,1.73376054e-03,3.20936868e-05,yes,425.1
256,256,M,3.59864320e-05,1.33469819e-02,2.48932829e-04,1.71959224e-03,2.69367733e-05,yes,66.7
256,256,N,3.58318673e-05,1.33470314e-02,2.48815410e-04,1.71959742e-03,2.68207759e-05,yes,738.1
