maxdim,maxdim_G,route,E_mpf,E_k3,E_k8,N12,lambda_min,resolved,time_s
48,48,M,-1.83306169e-02,2.68053849e-02,-1.73602249e-02,-1.17118426e-02,-2.02740732e-02,no,123.5
48,48,N,2.23972312e-04,5.53634751e-02,1.08035646e-03,7.09569669e-03,1.68161057e-04,yes,292.9
64,64,M,3.26725918e-03,3.84116852e-02,4.05804420e-03,-2.01577614e-03,3.94147515e-03,yes,283.6
64,64,N,2.51014937e-04,5.20497924e-02,1.07866057e-03,6.79861234e-03,1.87433656e-04,yes,824.8
96,96,M,2.12581915e-03,4.54797351e-02,2.23465499e-03,-5.34944215e-05,2.23460522e-03,yes,685.2
96,96,N,1.48732746e-04,5.18611730e-02,9.77080197e-04,6.69364436e-03,1.11283662e-04,yes,2392.0
128,128,M,1.28636953e-02,6.06639602e-02,1.28983633e-02,1.15780776e-02,1.02406083e-02,yes,2018.9
128,128,N,1.97800641e-04,6.14993290e-02,1.05253563e-03,7.43634755e-03,1.51135579e-04,yes,7505.0
192,192,M,5.20972529e-03,7.76361910e-02,5.71747951e-03,1.12732792e-02,3.99159602e-03,yes,5429.8
192,192,N,2.78628288e-04,6.86890019e-02,1.20514123e-03,8.23997847e-03,2.13584730e-04,yes,21405.8
