maxdim,object,discarded_weight,dc_max,route,amplification
16,F,3.11857337e-03,4.50214049e-01,M,1.44365386e+02
16,Phi,2.93713086e-01,1.36412661e-01,N,4.64441890e-01
32,F,1.40213406e-03,2.45713858e-01,M,1.75242771e+02
32,Phi,1.73157239e-01,6.22626061e-03,N,3.59572643e-02
48,F,8.82685784e-04,3.34555436e-01,M,3.79019853e+02
48,Phi,1.12251190e-01,1.81495120e-02,N,1.61686589e-01
64,F,5.62010977e-04,9.10135937e-02,M,1.61942733e+02
64,Phi,7.38640659e-02,8.66733199e-04,N,1.17341658e-02
96,F,2.42357850e-04,1.06545838e+01,M,4.39621980e+04
96,Phi,3.13400019e-02,5.58529920e-03,N,1.78216301e-01
128,F,9.03926412e-05,1.38200511e-03,M,1.52889117e+01
128,Phi,1.26036829e-02,1.93989586e-02,N,1.53915000e+00
192,F,4.55541330e-06,6.51009663e-02,M,1.42909023e+04
192,Phi,1.03628613e-03,7.79900499e-04,N,7.52591852e-01
256,F,0.00000000e+00,2.23511210e-10,M,NaN
256,Phi,0.00000000e+00,9.35998200e-04,N,NaN
