maxdim,object,discarded_weight,dc_max,route,amplification
48,F,8.91941669e-04,3.56344057e-02,M,3.99514979e+01
48,Phi,7.35132849e-02,6.16178631e-03,N,8.38186774e-02
64,F,5.74018129e-04,2.66884288e-01,M,4.64940521e+02
64,Phi,4.88621137e-02,8.48959691e-03,N,1.73746002e-01
96,F,2.40681745e-04,1.84066962e-01,M,7.64773257e+02
96,Phi,2.36695315e-02,8.69811200e-03,N,3.67481376e-01
128,F,9.97231176e-05,1.62396107e-01,M,1.62847002e+03
128,Phi,1.09541112e-02,2.31390996e-03,N,2.11236669e-01
192,F,1.46701261e-05,4.48352967e-02,M,3.05623118e+03
192,Phi,1.25606161e-03,4.50137798e-03,N,3.58372388e+00
