maxdim,maxdim_G,c1,dc_max,signal,N11,N12,N22,time_s
16,16,-0.34410761,1.99304195e-01,1.42874905e-02,1.25968861e-01,3.40493360e-02,1.05168390e-02,14.4
32,16,-0.13222103,1.25823898e-02,1.42874905e-02,1.64220106e-02,2.15404738e-03,4.87831398e-04,47.5
32,32,-0.13117652,1.36268948e-02,1.42874905e-02,1.64918063e-02,2.14861591e-03,4.85312428e-04,37.0
48,16,-0.12722714,1.75762772e-02,1.42874905e-02,1.84994075e-02,2.08955073e-03,2.21917670e-04,64.4
48,32,-0.12886302,1.59404031e-02,1.42874905e-02,1.85729021e-02,2.12246284e-03,2.22034053e-04,55.6
64,16,-0.14768467,2.88124889e-03,1.42874905e-02,1.61379102e-02,2.07737570e-03,2.61560012e-04,81.9
64,32,-0.14509944,2.96021941e-04,1.42874905e-02,1.63970683e-02,2.07793644e-03,2.61659171e-04,80.4
64,64,-0.14772989,2.92646903e-03,1.42874905e-02,1.62308692e-02,2.08984023e-03,2.63662048e-04,94.7
96,16,-0.15217143,7.36801335e-03,1.42874905e-02,1.41115296e-02,1.87070826e-03,2.54018881e-04,145.3
96,32,-0.14271110,2.09231832e-03,1.42874905e-02,1.47772255e-02,1.86825001e-03,2.56071667e-04,146.7
96,64,-0.15274555,7.94213495e-03,1.42874905e-02,1.45157038e-02,1.92555960e-03,2.57291568e-04,184.4
128,16,-0.12859553,1.62078879e-02,1.42874905e-02,1.44623634e-02,1.70365419e-03,2.49888923e-04,234.8
128,32,-0.12154246,2.32609613e-02,1.42874905e-02,1.50094937e-02,1.69347790e-03,2.50410569e-04,289.7
128,64,-0.12893634,1.58670765e-02,1.42874905e-02,1.47382943e-02,1.73801260e-03,2.53244414e-04,250.3
128,128,-0.12656898,1.82344433e-02,1.42874905e-02,1.50403000e-02,1.74937044e-03,2.56146887e-04,308.2
192,16,-0.14661379,1.81036935e-03,1.42874905e-02,1.29119782e-02,1.68846258e-03,2.53348028e-04,413.7
192,32,-0.14022216,4.58125956e-03,1.42874905e-02,1.33669118e-02,1.68905930e-03,2.52941196e-04,462.7
192,64,-0.14527462,4.71203117e-04,1.42874905e-02,1.32697064e-02,1.72148546e-03,2.56628556e-04,612.2
192,128,-0.14589712,1.09370548e-03,1.42874905e-02,1.33618760e-02,1.73725065e-03,2.57188109e-04,708.5
192,192,-0.14519451,3.91092189e-04,1.42874905e-02,1.33789962e-02,1.73376054e-03,2.57308907e-04,745.5
256,16,-0.14627017,1.46675032e-03,1.42874905e-02,1.28527060e-02,1.67218268e-03,2.45488451e-04,746.9
256,32,-0.14008645,4.71696937e-03,1.42874905e-02,1.33539536e-02,1.67964000e-03,2.45175852e-04,752.5
256,64,-0.14507460,2.71180375e-04,1.42874905e-02,1.32274452e-02,1.70794185e-03,2.48484689e-04,774.1
256,128,-0.14558894,7.85523744e-04,1.42874905e-02,1.33135068e-02,1.72182500e-03,2.48678190e-04,836.1
256,192,-0.14490218,9.87593753e-05,1.42874905e-02,1.33328490e-02,1.71873542e-03,2.48819134e-04,914.0
256,256,-0.14480973,6.30969089e-06,1.42874905e-02,1.33470314e-02,1.71959742e-03,2.48815410e-04,1033.1
