maxdim_int,maxdim_fin,chi_built,chi_final,c1,dc,dN22_rel,signal,time_s
64,48,64,48,-0.1555503592,1.074695e-02,6.739387e-02,1.428750e-02,193.6
128,48,128,48,-0.1291306779,1.567273e-02,5.815382e-03,1.428750e-02,449.4
128,96,128,96,-0.1242747388,2.052867e-02,1.663869e-03,1.428750e-02,444.7
128,128,128,128,-0.1265689753,1.823444e-02,2.953330e-02,1.428750e-02,479.8
192,48,192,48,-0.1542920306,9.488618e-03,4.510909e-02,1.428750e-02,840.1
192,96,192,96,-0.1468835498,2.080137e-03,1.784007e-02,1.428750e-02,787.5
192,128,192,128,-0.1455259248,7.225121e-04,3.359451e-02,1.428750e-02,754.5
192,192,192,192,-0.1451945107,3.910980e-04,3.420382e-02,1.428750e-02,746.7
256,48,256,48,-0.1492487437,4.445331e-03,2.606209e-02,1.428750e-02,1254.9
256,96,256,96,-0.1488489001,4.045487e-03,9.075412e-03,1.428750e-02,1291.1
256,128,256,128,-0.1448245797,2.116689e-05,3.891662e-04,1.428750e-02,1261.4
256,192,256,192,-0.1448622981,5.888533e-05,5.282908e-03,1.428750e-02,1298.2
256,256,256,256,-0.1448097282,6.315485e-06,6.584142e-05,1.428750e-02,1275.7
