n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_std,chi_sem,chi3_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
12,0.116667,256,512,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.000,0.000,0.000,1.000000e+00,1.00,1.00,1,1.00000000,0.00000000,0.00000000e+00,false
12,0.116667,256,512,0.05,0.360000,0.18684190,0.20129072,0.20247203,4.000,0.000,0.000,6.400000e+01,4.00,4.00,5,0.88459057,0.00099408,2.52980128e-04,false
12,0.116667,256,512,0.05,0.720000,0.46310007,0.53500606,0.54096944,5.000,0.217,0.014,1.257031e+02,5.00,6.00,8,0.64146101,0.00406094,4.22175969e-03,false
12,0.116667,256,512,0.05,1.080000,0.70748872,0.79794211,1.00759240,6.957,0.368,0.023,3.393242e+02,7.00,8.00,12,0.43132515,0.00625767,1.00245689e-02,false
12,0.116667,256,512,0.05,1.440000,0.92409078,1.06918132,1.20968085,9.457,1.062,0.066,8.761523e+02,11.00,11.00,16,0.33451130,0.00845152,1.82856229e-02,false
12,0.116667,256,512,0.05,1.800000,1.11073051,1.33368754,1.56574032,12.059,2.310,0.144,1.935387e+03,14.00,14.00,21,0.32564071,0.01091217,3.04833311e-02,false
12,0.116667,256,512,0.05,2.160000,1.24878243,1.55313167,1.79879735,14.047,3.038,0.190,3.134234e+03,17.00,18.00,27,0.35337863,0.01430196,5.23638005e-02,false
12,0.116667,256,512,0.05,2.520000,1.37112730,1.71438864,2.02672882,16.547,5.004,0.313,5.732742e+03,23.00,23.00,35,0.35310575,0.01643985,6.91888096e-02,false
12,0.116667,256,512,0.05,2.880000,1.46463888,1.82134993,2.24480359,18.746,7.250,0.453,9.567934e+03,31.00,31.00,42,0.34334567,0.01770397,8.02382666e-02,false
12,0.116667,256,512,0.05,3.240000,1.56860486,1.90487731,2.40933535,19.984,8.911,0.557,1.297534e+04,38.00,38.00,48,0.34128645,0.01797497,8.27134793e-02,false
12,0.116667,256,512,0.05,3.600000,1.62517397,1.93195932,2.54388960,20.469,10.306,0.644,1.559717e+04,43.00,43.00,53,0.35038425,0.01745359,7.79846973e-02,false
12,0.116667,256,512,0.05,3.960000,1.69152403,1.97360708,2.62867484,20.777,11.373,0.711,1.795747e+04,47.00,47.00,55,0.37022113,0.01782732,8.13602076e-02,false
12,0.116667,256,512,0.05,4.320000,1.72165967,1.98622185,2.69822754,20.195,12.276,0.767,1.893487e+04,51.00,51.00,57,0.39582169,0.01774897,8.06466229e-02,false
12,0.116667,256,512,0.05,4.680000,1.76772898,2.00918042,2.72242022,19.734,12.580,0.786,1.885568e+04,52.00,52.00,57,0.40425084,0.01760786,7.93693975e-02,false
12,0.116667,256,512,0.05,5.040000,1.76763304,1.99529365,2.79080011,18.121,11.567,0.723,1.456357e+04,39.00,53.00,58,0.45251306,0.01846523,8.72869941e-02,false
12,0.116667,256,512,0.05,5.400000,1.79611035,2.00246876,2.79509096,17.785,11.871,0.742,1.459389e+04,40.00,53.00,58,0.46315691,0.01802317,8.31576675e-02,false
12,0.116667,256,512,0.05,5.760000,1.76458713,1.96983231,2.81087063,16.441,11.182,0.699,1.195632e+04,40.00,53.00,58,0.48751110,0.01815416,8.43708352e-02,false
12,0.116667,256,512,0.05,6.120000,1.77848979,1.96607393,2.83982991,15.934,10.998,0.687,1.104771e+04,39.25,52.00,58,0.50098175,0.01853343,8.79329774e-02,false
12,0.116667,256,512,0.05,6.480000,1.73455510,1.92962880,2.83276407,14.863,10.755,0.672,9.640598e+03,39.25,51.00,59,0.53180948,0.01914409,9.38230000e-02,false
12,0.116667,256,512,0.05,6.840000,1.71923056,1.90313940,2.85926157,14.258,10.616,0.663,8.939844e+03,38.25,53.00,59,0.54206099,0.01969533,9.93038961e-02,false
12,0.116667,256,512,0.05,7.200000,1.71812952,1.89525902,2.91041690,13.762,10.430,0.652,8.297652e+03,31.75,53.00,59,0.54661352,0.01899154,9.23337588e-02,false
