cutoff,maxdim,c1,N11,N12,N22
1.0e-12,32,-0.133381907174,7.7353031032e-02,9.5656487855e-03,1.5880992330e-03
1.0e-12,64,-0.135699136865,7.8976323041e-02,9.6370163330e-03,1.3520016089e-03
1.0e-12,128,-0.136169817854,7.8487344407e-02,9.6062543436e-03,1.3508638728e-03
1.0e-12,256,-0.135624967252,7.9095909899e-02,9.6453615134e-03,1.3510490229e-03
1.0e-14,32,-0.133420357318,7.7357640231e-02,9.5679330125e-03,1.5880807880e-03
1.0e-14,64,-0.135732020031,7.8980258663e-02,9.6389494900e-03,1.3519277280e-03
1.0e-14,128,-0.136204837307,7.8491539660e-02,9.6083269726e-03,1.3508134774e-03
1.0e-14,256,-0.135660863944,7.9100016074e-02,9.6475053668e-03,1.3510254010e-03
1.0e-16,32,-0.133419125541,7.7357546229e-02,9.5679075212e-03,1.5881283616e-03
1.0e-16,64,-0.135732128198,7.8980276917e-02,9.6389612343e-03,1.3519328796e-03
1.0e-16,128,-0.136204935974,7.8491557049e-02,9.6083384054e-03,1.3508189317e-03
1.0e-16,256,-0.135660969081,7.9100033297e-02,9.6475170326e-03,1.3510307413e-03
