label,n,gamma,dt,order,maxdim,t,S_op_mid,z_mid_re,dS_vs_finest,dz_vs_finest
dt0.2,12,0.05,0.2,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
dt0.2,12,0.05,0.2,2,256,3.0000,4.1667584543,0.2121397403,7.2688e-03,9.2375e-04
dt0.2,12,0.05,0.2,2,256,6.0000,5.4775717959,0.2570826229,3.5643e-02,2.5155e-03
dt0.2,12,0.05,0.2,2,256,9.0000,4.6627905037,0.3475970033,1.2987e-01,2.0988e-03
dt0.1,12,0.05,0.1,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
dt0.1,12,0.05,0.1,2,256,3.0000,4.1717877848,0.2121754199,2.2395e-03,9.5943e-04
dt0.1,12,0.05,0.1,2,256,6.0000,5.4951533128,0.2541999310,1.8061e-02,3.6717e-04
dt0.1,12,0.05,0.1,2,256,9.0000,4.7344261368,0.3487114775,5.8237e-02,9.8433e-04
dt0.05,12,0.05,0.05,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
dt0.05,12,0.05,0.05,2,256,3.0000,4.1734043452,0.2115342259,6.2293e-04,3.1823e-04
dt0.05,12,0.05,0.05,2,256,6.0000,5.5046133578,0.2533056430,8.6011e-03,1.2615e-03
dt0.05,12,0.05,0.05,2,256,9.0000,4.7687581727,0.3490214709,2.3905e-02,6.7433e-04
dt0.02,12,0.05,0.02,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
dt0.02,12,0.05,0.02,2,256,3.0000,4.1740272779,0.2112159943,0.0000e+00,0.0000e+00
dt0.02,12,0.05,0.02,2,256,6.0000,5.5132144101,0.2545670988,0.0000e+00,0.0000e+00
dt0.02,12,0.05,0.02,2,256,9.0000,4.7926630731,0.3496958032,0.0000e+00,0.0000e+00
