label,n,gamma,splitting,dt,order,maxdim,t,S_op_mid,z_mid_re,dS_vs_finest,dz_vs_finest
project,8,0.05,project,0.2,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
project,8,0.05,project,0.2,2,256,2.0000,2.8521395171,0.2601921929,2.4961e-03,1.2439e-03
project,8,0.05,project,0.2,2,256,4.0000,4.1831226111,0.2494090202,4.0776e-03,4.6222e-04
project,8,0.05,project,0.2,2,256,6.0000,3.9140880623,0.1838221298,1.4329e-02,2.6190e-03
project,8,0.05,project,0.2,2,256,10.0000,3.1375759636,0.2718372046,4.4552e-03,1.2884e-04
project,8,0.05,project,0.1,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
project,8,0.05,project,0.1,2,256,2.0000,2.8538637123,0.2593346405,7.7189e-04,3.8637e-04
project,8,0.05,project,0.1,2,256,4.0000,4.1859025869,0.2493611415,1.2977e-03,5.1009e-04
project,8,0.05,project,0.1,2,256,6.0000,3.9024305252,0.1854389640,2.6714e-03,1.0022e-03
project,8,0.05,project,0.1,2,256,10.0000,3.1329431407,0.2720911893,1.7765e-04,1.2514e-04
project,8,0.05,project,0.05,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
project,8,0.05,project,0.05,2,256,2.0000,2.8544279184,0.2590508365,2.0769e-04,1.0256e-04
project,8,0.05,project,0.05,2,256,4.0000,4.1868414689,0.2496496179,3.5878e-04,2.2162e-04
project,8,0.05,project,0.05,2,256,6.0000,3.9000674094,0.1861306214,3.0826e-04,3.1052e-04
project,8,0.05,project,0.05,2,256,10.0000,3.1326922141,0.2720437592,4.2857e-04,7.7714e-05
project,8,0.05,project,0.025,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
project,8,0.05,project,0.025,2,256,2.0000,2.8546356041,0.2589482722,0.0000e+00,0.0000e+00
project,8,0.05,project,0.025,2,256,4.0000,4.1872002532,0.2498712353,0.0000e+00,0.0000e+00
project,8,0.05,project,0.025,2,256,6.0000,3.8997591478,0.1864411375,0.0000e+00,0.0000e+00
project,8,0.05,project,0.025,2,256,10.0000,3.1331207875,0.2719660450,0.0000e+00,0.0000e+00
strang,8,0.05,strang,0.2,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
strang,8,0.05,strang,0.2,2,256,2.0000,2.8531655785,0.2593432001,1.5931e-03,4.5801e-04
strang,8,0.05,strang,0.2,2,256,4.0000,4.1846453317,0.2514648550,2.7978e-03,1.2956e-03
strang,8,0.05,strang,0.2,2,256,6.0000,3.9171383743,0.1866819413,1.6843e-02,5.2965e-05
strang,8,0.05,strang,0.2,2,256,10.0000,3.1409575136,0.2709772885,7.0047e-03,8.6619e-04
strang,8,0.05,strang,0.1,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
strang,8,0.05,strang,0.1,2,256,2.0000,2.8543915674,0.2589918921,3.6711e-04,1.0670e-04
strang,8,0.05,strang,0.1,2,256,4.0000,4.1867637536,0.2504706465,6.7934e-04,3.0136e-04
strang,8,0.05,strang,0.1,2,256,6.0000,3.9042825479,0.1867324478,3.9869e-03,2.4586e-06
strang,8,0.05,strang,0.1,2,256,10.0000,3.1354651499,0.2716378544,1.5123e-03,2.0562e-04
strang,8,0.05,strang,0.05,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
strang,8,0.05,strang,0.05,2,256,2.0000,2.8546930110,0.2589021992,6.5664e-05,1.7007e-05
strang,8,0.05,strang,0.05,2,256,4.0000,4.1873039244,0.2502250290,1.3917e-04,5.5739e-05
strang,8,0.05,strang,0.05,2,256,6.0000,3.9010762757,0.1867462104,7.8064e-04,1.1304e-05
strang,8,0.05,strang,0.05,2,256,10.0000,3.1341760605,0.2718123726,2.2320e-04,3.1106e-05
strang,8,0.05,strang,0.025,2,256,0.0000,0.0000000000,1.0000000000,0.0000e+00,0.0000e+00
strang,8,0.05,strang,0.025,2,256,2.0000,2.8547586754,0.2588851924,0.0000e+00,0.0000e+00
strang,8,0.05,strang,0.025,2,256,4.0000,4.1874430951,0.2501692896,0.0000e+00,0.0000e+00
strang,8,0.05,strang,0.025,2,256,6.0000,3.9002956361,0.1867349064,0.0000e+00,0.0000e+00
strang,8,0.05,strang,0.025,2,256,10.0000,3.1339528559,0.2718434787,0.0000e+00,0.0000e+00
