label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,S_op_mid,S_op_max,S_half_mid,linkdim_mid,linkdim_max,chi_req_mid_1e-06,chi_req_mid_1e-10,chi_req_max_1e-06,chi_req_max_1e-10,trace_re,trace_im,purity,z_mid_re,ceiling_mid,saturated
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,0.0000000000,0.0000000000,0.0000000000,1,1,1,1,1,1,1.0000000000,0.000e+00,1.0000000000,1.0000000000,65536,false
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.800000,1.1016229263,1.1504285516,1.7922039232,121,121,21,56,21,56,1.0000000000,0.000e+00,1.0000000000,0.5545732637,65536,true
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,1.600000,2.3099356587,2.3259766505,3.2748463635,676,676,82,239,82,240,1.0000000000,0.000e+00,1.0000000000,0.2671451224,65536,true
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,2.400000,3.4116674610,3.4348953158,4.6468993643,2500,2500,278,885,279,885,1.0000000000,0.000e+00,1.0000000000,0.2121195150,65536,true
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,3.200000,4.4355219956,4.4779160380,5.9318221305,9025,9025,874,3030,878,3030,1.0000000000,0.000e+00,1.0000000000,0.1318350091,65536,true
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,4.000000,5.4025355258,5.4507515353,7.1610615365,22801,22801,2571,8856,2571,8856,1.0000000000,0.000e+00,1.0000000000,0.0752176222,65536,true
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,4.800000,6.2897536160,6.3065633402,8.2683242040,38416,38416,6437,19549,6437,19549,1.0000000000,0.000e+00,1.0000000000,0.0215432756,65536,true
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,5.600000,6.7481631439,6.7481631439,8.9308433735,46225,46225,11398,29493,11398,29493,1.0000000000,0.000e+00,1.0000000000,0.0332342323,65536,true
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,6.400000,6.9521692686,6.9521692686,9.1274380114,49284,49284,13563,33807,13563,33807,1.0000000000,0.000e+00,1.0000000000,0.0452808409,65536,true
closed_n16_g0p02,16,0.000000,0.500000,false,2,256,1.000e-12,0.05000,7.200000,7.0445510390,7.0445510390,9.2306793342,50625,50625,13983,34813,13983,34813,1.0000000000,0.000e+00,1.0000000000,0.0531943261,65536,true
