label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,bond,S_op_bond,S_half_bond,linkdim_bond,chi_req_1e-06,chi_req_1e-10,ceiling_bond
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,1,0.0000000000,0.0000000000,1,1,1,4
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,2,0.0000000000,0.0000000000,1,1,1,16
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,3,0.0000000000,0.0000000000,1,1,1,64
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,4,0.0000000000,0.0000000000,1,1,1,256
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,5,0.0000000000,0.0000000000,1,1,1,1024
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,6,0.0000000000,0.0000000000,1,1,1,4096
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,7,0.0000000000,0.0000000000,1,1,1,16384
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,8,0.0000000000,0.0000000000,1,1,1,65536
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,9,0.0000000000,0.0000000000,1,1,1,16384
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,10,0.0000000000,0.0000000000,1,1,1,4096
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,11,0.0000000000,0.0000000000,1,1,1,1024
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,12,0.0000000000,0.0000000000,1,1,1,256
open_n16_g0p050_g0p05,16,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,13,0.0000000000,0.0000000000,1,1,1,64
