label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,S_op_mid,S_op_max,S_half_mid,linkdim_mid,linkdim_max,chi_req_mid_1e-06,chi_req_mid_1e-10,chi_req_max_1e-06,chi_req_max_1e-10,trace_re,trace_im,purity,z_mid_re,ceiling_mid,saturated
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,0.0000000000,0.0000000000,0.0000000000,1,1,1,1,1,1,1.0000000000,0.000e+00,1.0000000000,1.0000000000,1048576,false
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,1.000000,1.4082098926,1.4210718152,2.1704250264,90,94,29,74,30,74,0.9998371294,-2.715e-07,0.1498453821,0.4697850791,1048576,false
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,2.000000,2.8311976104,2.8939897274,3.9374716210,256,256,148,256,150,256,0.9998479469,-3.315e-07,0.0250341668,0.3345730744,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,3.000000,4.0522207659,4.1000745981,5.4380513159,256,256,252,256,253,256,0.9943234210,-2.276e-05,0.0046006266,0.3045782157,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,4.000000,4.8452342698,4.8968521101,6.3257332390,256,256,256,256,256,256,0.9889517231,-3.068e-04,0.0009938774,0.3295370625,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,5.000000,4.6474124186,4.7411978594,6.4712682059,256,256,256,256,256,256,0.9880197865,5.547e-04,0.0002890103,0.3887241980,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,6.000000,3.2010316457,3.2471823367,5.9062547091,256,256,256,256,256,256,0.9901585326,6.393e-05,0.0001459600,0.4553538231,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,7.000000,1.5991674550,1.6587352619,4.7604932996,256,256,256,256,256,256,0.9992125449,-1.600e-04,0.0001395467,0.5106913077,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,8.000000,0.7566712213,0.8296602433,3.5223558536,256,256,256,256,256,256,0.9998669840,9.956e-05,0.0002029910,0.5548673537,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,9.000000,0.4121916370,0.4547173602,2.5546201339,256,256,256,256,256,256,1.0000176945,5.604e-05,0.0003524469,0.5941528885,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,10.000000,0.2590375017,0.2736229721,1.9009099786,256,256,253,256,254,256,1.0000892965,-3.882e-05,0.0006484469,0.6291842858,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,11.000000,0.1745046993,0.1786293369,1.4522232049,256,256,247,256,248,256,1.0000502847,-1.352e-05,0.0011976052,0.6605332987,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,12.000000,0.1220689703,0.1228871877,1.1324951341,256,256,231,256,236,256,1.0000238458,1.975e-06,0.0021632607,0.6895842291,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,13.000000,0.0875868042,0.0876994529,0.8987772614,256,256,204,256,212,256,1.0000090082,1.947e-05,0.0037753573,0.7182421507,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,14.000000,0.0641720658,0.0651041332,0.7196325221,256,256,169,256,177,256,1.0000034103,2.541e-05,0.0063315021,0.7450380233,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,15.000000,0.0481226646,0.0504960217,0.5806567790,256,256,134,256,138,256,1.0000044413,-5.213e-07,0.0101881407,0.7693689804,1048576,true
open_n20_g0p100_g0p10,20,0.100000,0.500000,true,2,256,1.000e-12,0.05000,16.000000,0.0369778558,0.0393093024,0.4743972239,256,256,103,256,103,256,1.0000057295,-5.902e-06,0.0157408204,0.7912856490,1048576,true
