label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,S_op_mid,S_op_max,S_half_mid,linkdim_mid,linkdim_max,chi_req_mid_1e-06,chi_req_mid_1e-10,chi_req_max_1e-06,chi_req_max_1e-10,trace_re,trace_im,purity,z_mid_re,ceiling_mid,saturated
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,0.0000000000,0.0000000000,0.0000000000,1,1,1,1,1,1,1.0000000000,0.000e+00,1.0000000000,1.0000000000,256,false
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.400000,0.4552049352,0.4699737006,0.9809084226,49,49,10,22,10,22,1.0000000000,0.000e+00,1.0000000000,0.8542281450,256,true
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.800000,1.1016279490,1.1504285516,1.7922247986,121,121,21,56,21,56,1.0000000000,0.000e+00,1.0000000000,0.5544145785,256,true
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,1.200000,1.7233398299,1.7357215305,2.5525217816,225,225,44,109,44,109,1.0000000000,0.000e+00,1.0000000000,0.3335562999,256,true
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,1.600000,2.3112607082,2.3262435844,3.2764420746,256,256,82,176,82,176,1.0000000000,0.000e+00,1.0000000000,0.2517886773,256,true
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,2.000000,2.8622108264,2.9291001815,3.9781176410,256,256,132,222,132,222,1.0000000000,0.000e+00,1.0000000000,0.2067642163,256,true
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,2.400000,3.3863691368,3.4551950365,4.6380450295,256,256,177,244,177,244,1.0000000000,0.000e+00,1.0000000000,0.1350661845,256,true
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,2.800000,3.8342973745,3.8342973745,5.1529555020,256,256,206,252,206,252,1.0000000000,0.000e+00,1.0000000000,0.0831375889,256,true
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,3.200000,4.0433145236,4.0433145236,5.3672233428,256,256,219,254,219,254,1.0000000000,0.000e+00,1.0000000000,0.0977397002,256,true
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,3.600000,4.0302012500,4.0302012500,5.2604469746,256,256,219,255,219,255,1.0000000000,0.000e+00,1.0000000000,0.1434938299,256,true
