label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,bond,S_op_bond,S_half_bond,linkdim_bond,chi_req_1e-06,chi_req_1e-10,ceiling_bond
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,1,0.0000000000,0.0000000000,1,1,1,4
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,2,0.0000000000,0.0000000000,1,1,1,16
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,3,0.0000000000,0.0000000000,1,1,1,64
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,4,0.0000000000,0.0000000000,1,1,1,256
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,5,0.0000000000,0.0000000000,1,1,1,1024
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,6,0.0000000000,0.0000000000,1,1,1,4096
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,7,0.0000000000,0.0000000000,1,1,1,1024
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,8,0.0000000000,0.0000000000,1,1,1,256
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,9,0.0000000000,0.0000000000,1,1,1,64
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,10,0.0000000000,0.0000000000,1,1,1,16
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,11,0.0000000000,0.0000000000,1,1,1,4
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,1,1.4254518956,1.6851767566,4,4,4,4
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,2,1.4185268294,2.1478932492,16,16,16,16
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,3,1.4134675251,2.1758794357,54,29,51,64
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,4,1.4132177291,2.1757179342,83,30,72,256
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,5,1.4130180276,2.1754255794,76,29,65,1024
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,6,1.4131803854,2.1756728482,87,30,72,4096
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,7,1.4130173489,2.1754246622,76,29,65,1024
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,8,1.4132151437,2.1757116009,83,30,72,256
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,9,1.4134528775,2.1757603422,50,29,49,64
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,10,1.4182391083,2.1472603320,16,16,16,16
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,11,1.4240654226,1.6840555140,4,4,4,4
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,1,1.9412542982,1.9705332291,4,4,4,4
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,2,2.5233618182,3.1368152627,16,16,16,16
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,3,2.9201128252,3.8847891223,64,62,64,64
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,4,2.8574206871,3.9616467171,234,130,223,256
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,5,2.8632641769,3.9667067639,370,151,334,1024
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,6,2.8601564758,3.9656679274,465,150,396,4096
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,7,2.8629918749,3.9663595786,361,151,329,1024
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,8,2.8557546305,3.9592801914,215,128,205,256
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,9,2.9151345006,3.8774091834,64,59,64,64
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,10,2.5070309243,3.1215614095,16,16,16,16
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,11,1.9310927936,1.9652316776,4,4,4,4
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,3.000000,1,1.9046122826,1.9522558818,4,4,4,4
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,3.000000,2,2.5590677810,3.2016136620,16,16,16,16
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,3.000000,3,3.7672666930,4.5497580282,64,64,64,64
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,3.000000,4,4.0208559560,5.3228935529,254,222,254,256
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,3.000000,5,4.2169005230,5.5870000702,512,461,512,1024
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,3.000000,6,4.1758971732,5.5905110040,512,480,512,4096
