label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,S_op_mid,S_op_max,S_half_mid,linkdim_mid,linkdim_max,chi_req_mid_1e-06,chi_req_mid_1e-10,chi_req_max_1e-06,chi_req_max_1e-10,trace_re,trace_im,purity,z_mid_re,ceiling_mid,saturated
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,0.000000,0.0000000000,0.0000000000,0.0000000000,1,1,1,1,1,1,1.0000000000,0.000e+00,1.0000000000,1.0000000000,4096,false
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,1.000000,1.4131803854,1.4254518956,2.1756728482,87,87,30,72,30,72,0.9997991075,-8.767e-07,0.5570954735,0.4479390090,4096,false
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,2.000000,2.8601564758,2.9201128252,3.9656679274,465,465,150,396,151,396,0.9998438638,-1.812e-06,0.3146602234,0.2923730118,4096,false
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,3.000000,4.1758971732,4.2169005230,5.5905110040,512,512,480,512,480,512,0.9994321500,7.146e-07,0.1790862534,0.2095137458,4096,false
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,4.000000,5.2062531712,5.2331757334,6.7581198471,512,512,509,512,509,512,0.9939195578,1.057e-05,0.1039271891,0.2007738022,4096,false
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,5.000000,5.4670865339,5.4670865339,6.9961806771,512,512,512,512,512,512,0.9943839359,7.154e-07,0.0608798164,0.2521643325,4096,true
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,6.000000,5.6256794145,5.6256794145,7.1307856624,512,512,512,512,512,512,0.9984893816,-2.786e-05,0.0358908176,0.2588589541,4096,true
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,7.000000,5.3829028543,5.3829028543,7.0275379990,512,512,512,512,512,512,0.9991181701,-4.017e-05,0.0216432745,0.2842219730,4096,true
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,8.000000,5.1011720360,5.1011720360,6.9433872768,512,512,512,512,512,512,0.9998288765,-8.878e-06,0.0135718093,0.3104664136,4096,true
g0p050_open_n12,12,0.050000,0.500000,true,2,512,1.000e-12,0.02000,9.000000,4.8661812986,4.8661812986,6.9468407341,512,512,512,512,512,512,0.9998154339,-4.780e-05,0.0089980811,0.3540517075,4096,true
