label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,S_op_mid,S_op_mid_ref,dS_op,z_mid_re,dz_mid,chi_req_mid_loose,saturated,converged_1e3
conv_n20_chi64,20,0.200000,0.500000,true,2,64,1.000e-12,0.02000,0.000000,0.0000000000,0.0000000000,0.000000e+00,1.0000000000,0.000000e+00,1,false,true
conv_n20_chi64,20,0.200000,0.500000,true,2,64,1.000e-12,0.02000,1.750000,2.3520343062,2.3521362264,1.019202e-04,0.4035607883,6.774192e-04,63,false,true
conv_n20_chi64,20,0.200000,0.500000,true,2,64,1.000e-12,0.02000,3.500000,1.7265783162,1.7668175635,4.023925e-02,0.4890794286,3.230891e-03,64,true,false
conv_n20_chi64,20,0.200000,0.500000,true,2,64,1.000e-12,0.02000,5.250000,0.2700089580,0.2632140409,6.794917e-03,0.6487836151,3.205910e-03,64,true,false
conv_n20_chi64,20,0.200000,0.500000,true,2,64,1.000e-12,0.02000,7.000000,0.0727455244,0.0689292973,3.816227e-03,0.7518360032,2.733851e-03,60,false,false
conv_n20_chi128,20,0.200000,0.500000,true,2,128,1.000e-12,0.02000,0.000000,0.0000000000,0.0000000000,0.000000e+00,1.0000000000,0.000000e+00,1,false,true
conv_n20_chi128,20,0.200000,0.500000,true,2,128,1.000e-12,0.02000,1.750000,2.3521358576,2.3521362264,3.688018e-07,0.4042474491,9.241526e-06,98,false,true
conv_n20_chi128,20,0.200000,0.500000,true,2,128,1.000e-12,0.02000,3.500000,1.7620526785,1.7668175635,4.764885e-03,0.4910346671,1.275653e-03,127,false,false
conv_n20_chi128,20,0.200000,0.500000,true,2,128,1.000e-12,0.02000,5.250000,0.2648395887,0.2632140409,1.625548e-03,0.6509415255,1.047999e-03,125,false,false
conv_n20_chi128,20,0.200000,0.500000,true,2,128,1.000e-12,0.02000,7.000000,0.0696815430,0.0689292973,7.522457e-04,0.7537212054,8.486489e-04,105,false,true
conv_n20_chi256,20,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.000000,0.0000000000,0.0000000000,0.000000e+00,1.0000000000,0.000000e+00,1,false,true
conv_n20_chi256,20,0.200000,0.500000,true,2,256,1.000e-12,0.02000,1.750000,2.3521362264,2.3521362264,0.000000e+00,0.4042382075,0.000000e+00,100,false,true
conv_n20_chi256,20,0.200000,0.500000,true,2,256,1.000e-12,0.02000,3.500000,1.7668175635,1.7668175635,0.000000e+00,0.4923103197,0.000000e+00,249,false,true
conv_n20_chi256,20,0.200000,0.500000,true,2,256,1.000e-12,0.02000,5.250000,0.2632140409,0.2632140409,0.000000e+00,0.6519895248,0.000000e+00,241,false,true
conv_n20_chi256,20,0.200000,0.500000,true,2,256,1.000e-12,0.02000,7.000000,0.0689292973,0.0689292973,0.000000e+00,0.7545698543,0.000000e+00,158,false,true
