label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,bond,S_op_bond,S_half_bond,linkdim_bond,chi_req_1e-06,chi_req_1e-10,ceiling_bond
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.000000,1,0.0000000000,0.0000000000,1,1,1,4
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.000000,2,0.0000000000,0.0000000000,1,1,1,16
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.000000,3,0.0000000000,0.0000000000,1,1,1,64
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.000000,4,0.0000000000,0.0000000000,1,1,1,256
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.000000,5,0.0000000000,0.0000000000,1,1,1,64
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.000000,6,0.0000000000,0.0000000000,1,1,1,16
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.000000,7,0.0000000000,0.0000000000,1,1,1,4
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.250000,1,0.2288450291,0.6343221821,4,4,4,4
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.250000,2,0.2253435758,0.6450026172,15,7,12,16
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.250000,3,0.2252792338,0.6449056515,14,7,13,64
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.250000,4,0.2253620724,0.6449748404,15,6,14,256
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.250000,5,0.2252792387,0.6449056133,14,7,13,64
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.250000,6,0.2253432653,0.6449903022,13,7,12,16
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.250000,7,0.2288243835,0.6341637458,4,4,4,4
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.500000,1,0.6401624360,1.1090429875,4,4,4,4
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.500000,2,0.6127057300,1.1872659810,16,12,16,16
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.500000,3,0.6129868581,1.1871610293,28,12,25,64
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.500000,4,0.6131174545,1.1872295682,32,12,26,256
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.500000,5,0.6129872799,1.1871566722,28,12,25,64
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.500000,6,0.6126583342,1.1868571476,16,12,16,16
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.500000,7,0.6392792941,1.1070398152,4,4,4,4
open_n8,8,0.200000,0.500000,true,2,256,1.000e-12,0.02000,0.750000,1,1.0585796458,1.4479064762,4,4,4,4
