label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,S_op_mid,S_op_max,S_half_mid,linkdim_mid,linkdim_max,chi_req_mid_1e-06,chi_req_mid_1e-10,chi_req_max_1e-06,chi_req_max_1e-10,trace_re,trace_im,purity,z_mid_re,ceiling_mid,saturated
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,0.000000,0.0000000000,0.0000000000,0.0000000000,1,1,1,1,1,1,1.0000000000,0.000e+00,1.0000000000,1.0000000000,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,0.250000,0.2258247338,0.2293160393,0.6456258643,15,15,7,14,7,14,0.9999145348,4.749e-08,1.0001709522,0.9397739284,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,0.500000,0.6175142311,0.6447523215,1.1914987006,32,32,12,26,12,26,0.9998505810,-3.435e-07,1.0004699080,0.7836568735,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,0.750000,1.0219622552,1.0723252444,1.6941601836,53,53,20,46,20,46,0.9999173822,7.033e-09,1.0006352413,0.5914701787,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,1.000000,1.4148618463,1.4267097776,2.1773146400,87,87,30,73,30,73,0.9998974408,-2.484e-07,1.0008405211,0.4254241412,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,1.250000,1.7986128537,1.8118828010,2.6442709296,134,134,46,114,47,114,0.9998818122,-3.788e-07,1.0010771369,0.3204637009,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,1.500000,2.1671992800,2.1769342946,3.0967754640,207,208,70,176,71,176,0.9998612836,-1.021e-06,1.0013549259,0.2745989303,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,1.750000,2.5209460089,2.5518887848,3.5389061995,256,256,106,250,106,251,0.9998627319,6.912e-07,1.0016298900,0.2612388062,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,2.000000,2.8676487898,2.9259048432,3.9714355829,256,256,150,256,152,256,0.9997455672,1.200e-06,1.0021397679,0.2514832676,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,2.250000,3.2098081110,3.2672630479,4.3912991475,256,256,204,256,206,256,0.9987922151,3.316e-06,1.0045646979,0.2306988786,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,2.500000,3.5446287091,3.5627339206,4.7934723687,256,256,233,256,235,256,0.9952311999,7.376e-06,1.0142127118,0.2013542735,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,2.750000,3.8700406459,3.9006779789,5.1718285851,256,256,246,256,246,256,0.9853826370,1.336e-05,1.0445125114,0.1746480229,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,3.000000,4.1851557260,4.2275501915,5.5202515368,256,256,253,256,253,256,0.9631513949,4.322e-05,1.1259069017,0.1602360936,1048576,false
g0p200_closed_n20,20,0.200000,0.500000,false,2,256,1.000e-12,0.02000,3.250000,4.4891935538,4.5332071810,5.8320875446,256,256,255,256,256,256,0.9278082003,1.225e-06,1.3077349948,0.1602893267,1048576,true
