target,gamma,n,chi_classical,chi_dmpf,speedup,err_proj,metric
0.0001,0.01,8,,146.9141377692218,,1.790594448875e-05,Z_MAE
0.0001,0.01,10,434.80150831407025,166.01101029733425,2.619112476547901,5.8826380088999996e-05,Z_MAE
0.0001,0.02,8,,143.01443579078992,,1.733018723e-05,Z_MAE
0.0001,0.02,10,421.70815052528565,158.48723882219375,2.6608334756743317,5.5440740455e-05,Z_MAE
0.0001,0.05,8,,136.83605621402998,,1.547187697625e-05,Z_MAE
0.0001,0.05,10,322.08987769576214,124.58408650404147,2.585321181331724,4.6330269997e-05,Z_MAE
0.0001,0.1,8,169.3653114018108,100.00112086775655,1.693634130619224,1.2258555505e-05,Z_MAE
0.0001,0.1,10,241.6251676539861,105.33005473926937,2.2939812217139472,3.4066985127000003e-05,Z_MAE
0.0001,0.2,8,136.34741844959834,96.95058652127001,1.4063599132500868,6.725262465449999e-06,Z_MAE
0.0001,0.2,10,162.56818245035268,96.08994940079714,1.6918333651344815,1.8627262048800004e-05,Z_MAE
0.0001,0.4,8,82.9046241331105,19.76033073922103,4.19550792075349,1.7147312952000001e-06,Z_MAE
0.0001,0.4,10,86.63150625176411,26.293330156286544,3.294809205864368,4.7102524019e-06,Z_MAE
3e-05,0.01,8,,171.97132339068253,,1.790594448875e-05,Z_MAE
3e-05,0.01,10,535.3945286013426,,,5.8826380088999996e-05,Z_MAE
3e-05,0.02,8,,170.68437671095424,,1.733018723e-05,Z_MAE
3e-05,0.02,10,525.9092118835114,,,5.5440740455e-05,Z_MAE
3e-05,0.05,8,,166.2304658131705,,1.547187697625e-05,Z_MAE
3e-05,0.05,10,424.09950160733194,,,4.6330269997e-05,Z_MAE
3e-05,0.1,8,,147.42738361220557,,1.2258555505e-05,Z_MAE
3e-05,0.1,10,341.20707558201116,,,3.4066985127000003e-05,Z_MAE
3e-05,0.2,8,161.62317400577686,119.14209640899367,1.356558083810723,6.725262465449999e-06,Z_MAE
3e-05,0.2,10,238.61793157641847,140.08280193423644,1.7034063302677265,1.8627262048800004e-05,Z_MAE
3e-05,0.4,8,112.89072973185888,63.11649775765082,1.7886089016745952,1.7147312952000001e-06,Z_MAE
3e-05,0.4,10,122.85950362263227,72.82649829026764,1.6870164913455812,4.7102524019e-06,Z_MAE
1e-05,0.01,8,,,,1.790594448875e-05,Z_MAE
1e-05,0.01,10,610.9352393850293,,,5.8826380088999996e-05,Z_MAE
1e-05,0.02,8,,,,1.733018723e-05,Z_MAE
1e-05,0.02,10,600.6574205936782,,,5.5440740455e-05,Z_MAE
1e-05,0.05,8,,,,1.547187697625e-05,Z_MAE
1e-05,0.05,10,515.9951475735215,,,4.6330269997e-05,Z_MAE
1e-05,0.1,8,,,,1.2258555505e-05,Z_MAE
1e-05,0.1,10,438.35913535589975,,,3.4066985127000003e-05,Z_MAE
1e-05,0.2,8,188.75440243220112,164.8183587403852,1.1452268052827717,6.725262465449999e-06,Z_MAE
1e-05,0.2,10,320.5514681584628,,,1.8627262048800004e-05,Z_MAE
1e-05,0.4,8,137.41286268150046,83.97556006762534,1.6363435095978185,1.7147312952000001e-06,Z_MAE
1e-05,0.4,10,166.9778835387861,91.46887008886041,1.8255159747416798,4.7102524019e-06,Z_MAE
