splitting,order,k0,dt,rel_err_vs_gold,p_eff,status
project,2,2,1.50000000,9.90968710e-01,,ok
project,2,3,1.00000000,4.31824617e-01,2.0487,ok
project,2,4,0.75000000,2.36267198e-01,2.0963,ok
project,2,6,0.50000000,1.03178915e-01,2.0433,ok
project,2,8,0.37500000,5.84562719e-02,1.9750,ok
project,2,12,0.25000000,2.71319174e-02,1.8931,ok
project,2,24,0.12500000,8.36965087e-03,1.6968,ok
project,4,2,1.50000000,1.94054674e-01,,ok
project,4,3,1.00000000,5.16773070e-02,3.2632,ok
project,4,4,0.75000000,3.79774268e-02,1.0707,ok
project,4,6,0.50000000,2.54510913e-02,0.9871,ok
project,4,8,0.37500000,1.91264935e-02,0.9931,ok
project,4,12,0.25000000,1.27649934e-02,0.9973,ok
project,4,24,0.12500000,6.38558920e-03,0.9993,ok
strang,2,2,1.50000000,9.87598519e-01,,ok
strang,2,3,1.00000000,4.28665589e-01,2.0584,ok
strang,2,4,0.75000000,2.33389590e-01,2.1133,ok
strang,2,6,0.50000000,1.00431889e-01,2.0797,ok
strang,2,8,0.37500000,5.57749032e-02,2.0445,ok
strang,2,12,0.25000000,2.45530462e-02,2.0236,ok
strang,2,24,0.12500000,6.10219110e-03,2.0085,ok
strang,4,2,1.50000000,1.77748110e-01,,ok
strang,4,3,1.00000000,1.55533376e-02,6.0081,ok
strang,4,4,0.75000000,4.05819568e-03,4.6702,ok
strang,4,6,0.50000000,7.45846938e-04,4.1779,ok
strang,4,8,0.37500000,2.32128258e-04,4.0574,ok
strang,4,12,0.25000000,4.54313784e-05,4.0228,ok
strang,4,24,0.12500000,2.82661471e-06,4.0065,ok
