splitting,order_ref,k0,raw_trace,Z_mid,ZZ_mid,E_k3,E_k8,c1,E_mpf,selfconv,p_eff,time_s
project,2,24,1.000000000000,-0.2349178381,-0.4615963558,7.74723117e-02,1.11591501e-03,-0.1242752902,1.71400012e-04,8.24489082e-03,,
project,2,48,1.000000000000,-0.2357923224,-0.4629131061,7.91000312e-02,1.35103070e-03,-0.1356609519,2.25521612e-04,3.07832389e-03,1.4214,
project,2,96,1.000000000000,-0.2360175631,-0.4632002102,7.95253051e-02,1.42267855e-03,-0.1385521311,2.48685016e-04,1.30353098e-03,1.2397,
project,2,192,1.000000000000,-0.2360776653,-0.4632515679,7.96402089e-02,1.44583305e-03,-0.1393022560,2.59093035e-04,5.42201550e-04,1.2655,
project,2,384,1.000000000000,-0.2360946010,-0.4632542300,7.96731919e-02,1.45416813e-03,-0.1395037728,2.63992127e-04,1.79120872e-04,1.5979,
project,2,768,1.000000000000,-0.2360997889,-0.4632498081,7.96835641e-02,1.45752039e-03,-0.1395611662,2.66364875e-04,,,
project,4,24,1.000000000001,-0.2360361379,-0.4636067235,7.95555813e-02,1.38698046e-03,-0.1390915240,2.03828261e-04,6.18601684e-03,,
project,4,48,1.000000000001,-0.2360685282,-0.4634237428,7.96180436e-02,1.41925057e-03,-0.1393383698,2.31895159e-04,2.99354386e-03,1.0472,
project,4,96,1.000000000003,-0.2360856225,-0.4633326630,7.96528429e-02,1.43869708e-03,-0.1394638910,2.49201479e-04,1.39702404e-03,1.0995,
project,4,192,1.000000000004,-0.2360942199,-0.4632871213,7.96710764e-02,1.44924012e-03,-0.1395267674,2.58671723e-04,5.98729034e-04,1.2224,
project,4,384,1.000000000008,-0.2360985109,-0.4632643407,7.96803983e-02,1.45471608e-03,-0.1395582107,2.63611014e-04,1.99576800e-04,1.5850,
project,4,768,1.000000000018,-0.2361006519,-0.4632529469,7.96851103e-02,1.45750513e-03,-0.1395739323,2.66131691e-04,,,
strang,2,24,1.000000000000,-0.2348365614,-0.4611838164,7.76192202e-02,1.18552714e-03,-0.1249072500,2.31381697e-04,6.09624386e-03,,
strang,2,48,1.000000000000,-0.2357879576,-0.4627288777,7.91707535e-02,1.38876332e-03,-0.1359306698,2.58774367e-04,1.51732693e-03,2.0064,
strang,2,96,1.000000000001,-0.2360241889,-0.4631134926,7.95599913e-02,1.44225871e-03,-0.1386756353,2.66171269e-04,3.74728848e-04,2.0176,
strang,2,192,1.000000000002,-0.2360831458,-0.4632095430,7.96573845e-02,1.45579972e-03,-0.1393611947,2.68055279e-04,8.92128059e-05,2.0705,
strang,2,384,1.000000000004,-0.2360978788,-0.4632335491,7.96817380e-02,1.45919541e-03,-0.1395325419,2.68528463e-04,1.78421396e-05,2.3220,
strang,2,768,1.000000000007,-0.2361015616,-0.4632395503,7.96878267e-02,1.46004498e-03,-0.1395753760,2.68646896e-04,,,
strang,4,24,1.000000000001,-0.2361032769,-0.4632424095,7.96906474e-02,1.46043496e-03,-0.1395952486,2.68697594e-04,2.82661471e-06,,
strang,4,48,1.000000000003,-0.2361028199,-0.4632416042,7.96899057e-02,1.46033490e-03,-0.1395900034,2.68687086e-04,1.76754033e-07,3.9993,
strang,4,96,1.000000000005,-0.2361027911,-0.4632415540,7.96898594e-02,1.46032865e-03,-0.1395896756,2.68686429e-04,2.60052277e-08,2.7649,
strang,4,192,1.000000000009,-0.2361027893,-0.4632415508,7.96898565e-02,1.46032826e-03,-0.1395896552,2.68686388e-04,0.00000000e+00,,
strang,4,384,1.000000000019,-0.2361027892,-0.4632415506,7.96898563e-02,1.46032823e-03,-0.1395896539,2.68686386e-04,2.10566396e-08,,
strang,4,768,1.000000000042,-0.2361027892,-0.4632415506,7.96898563e-02,1.46032823e-03,-0.1395896538,2.68686386e-04,,,
