obs,chi,eps_chi,O_exact,O_direct,err_direct,O_dmpf_hw,err_dmpf_hw,O_dmpf_cl,err_dmpf_cl,err_proj,err_best_single,ratio_hw,ratio_cl
Z1,4,7.54270311e-02,-0.4064788463,-0.4954023861,8.89235398e-02,-0.4081497881,1.67094180e-03,-0.5017522925,9.52734462e-02,2.39478144e-03,7.44314890e-03,53.217616,0.933351
Z2,4,7.54270311e-02,0.3476292342,0.5367312766,1.89102042e-01,0.3484689775,8.39743396e-04,0.5796202115,2.31990977e-01,2.08068275e-03,2.24489847e-02,225.190270,0.815127
Z3,4,7.54270311e-02,-0.1930515432,-0.5862590359,3.93207493e-01,-0.1974685477,4.41700449e-03,-0.5926566884,3.99605145e-01,2.55906200e-03,1.03990242e-02,89.021302,0.983990
Z4,4,7.54270311e-02,0.5472973346,0.6894486533,1.42151319e-01,0.5542774924,6.98015784e-03,0.7511110241,2.03813690e-01,4.96566102e-03,9.08430201e-03,20.365058,0.697457
Z5,4,7.54270311e-02,-0.2420967300,-0.4342788382,1.92182108e-01,-0.2478317640,5.73503397e-03,-0.4861619910,2.44065261e-01,3.35624909e-03,1.32344148e-02,33.510195,0.787421
Z6,4,7.54270311e-02,0.7480519500,0.8342579419,8.62059919e-02,0.7527424042,4.69045419e-03,0.8800731381,1.32021188e-01,5.52151086e-03,1.13176558e-02,18.379029,0.652971
Z7,4,7.54270311e-02,-0.3692496909,-0.3947318047,2.54821138e-02,-0.3694669139,2.17222965e-04,-0.4691249882,9.98752973e-02,7.77667874e-04,7.71646242e-03,117.308563,0.255139
Z8,4,7.54270311e-02,0.6822344803,0.6059093530,7.63251273e-02,0.6817643281,4.70152188e-04,0.6601935047,2.20409756e-02,8.74064463e-04,3.69112156e-03,162.341321,3.462874
Z4Z5,4,7.54270311e-02,-0.5911150493,-0.7156653277,1.24550278e-01,-0.5927238816,1.60883233e-03,-0.7154146708,1.24299622e-01,1.89690382e-03,3.90603769e-03,77.416568,1.002017
Z1,8,3.19460099e-02,-0.4064788463,-0.5743547133,1.67875867e-01,-0.4075340710,1.05522474e-03,-0.5582756771,1.51796831e-01,2.39478144e-03,7.44314890e-03,159.090154,1.105925
Z2,8,3.19460099e-02,0.3476292342,0.4657045621,1.18075328e-01,0.3509531689,3.32393480e-03,0.4455297342,9.79005000e-02,2.08068275e-03,2.24489847e-02,35.522757,1.206075
Z3,8,3.19460099e-02,-0.1930515432,-0.4370258466,2.43974303e-01,-0.1990489625,5.99741931e-03,-0.4181788510,2.25127308e-01,2.55906200e-03,1.03990242e-02,40.679881,1.083717
Z4,8,3.19460099e-02,0.5472973346,0.8158703164,2.68572982e-01,0.5559910765,8.69374189e-03,0.8100067782,2.62709444e-01,4.96566102e-03,9.08430201e-03,30.892680,1.022319
Z5,8,3.19460099e-02,-0.2420967300,-0.4948952117,2.52798482e-01,-0.2498552211,7.75849104e-03,-0.5066242165,2.64527487e-01,3.35624909e-03,1.32344148e-02,32.583460,0.955661
Z6,8,3.19460099e-02,0.7480519500,0.9790156911,2.30963741e-01,0.7520354855,3.98353550e-03,0.9670295907,2.18977641e-01,5.52151086e-03,1.13176558e-02,57.979587,1.054737
Z7,8,3.19460099e-02,-0.3692496909,-0.5807106352,2.11460944e-01,-0.3703131942,1.06350332e-03,-0.5157839039,1.46534213e-01,7.77667874e-04,7.71646242e-03,198.834306,1.443082
Z8,8,3.19460099e-02,0.6822344803,0.7995187997,1.17284319e-01,0.6821079065,1.26573768e-04,0.7577480388,7.55135585e-02,8.74064463e-04,3.69112156e-03,926.608424,1.553156
Z4Z5,8,3.19460099e-02,-0.5911150493,-0.7086666731,1.17551624e-01,-0.5924788404,1.36379114e-03,-0.7125742736,1.21459224e-01,1.89690382e-03,3.90603769e-03,86.194741,0.967828
Z1,16,1.12344115e-02,-0.4064788463,-0.4756360004,6.91571541e-02,-0.4103931884,3.91434210e-03,-0.4877346694,8.12558231e-02,2.39478144e-03,7.44314890e-03,17.667632,0.851104
Z2,16,1.12344115e-02,0.3476292342,0.4070330520,5.94038178e-02,0.3394176842,8.21154994e-03,0.4001939007,5.25646666e-02,2.08068275e-03,2.24489847e-02,7.234178,1.130109
Z3,16,1.12344115e-02,-0.1930515432,-0.2888793656,9.58278225e-02,-0.1917102160,1.34132721e-03,-0.2925701462,9.95186031e-02,2.55906200e-03,1.03990242e-02,71.442540,0.962914
Z4,16,1.12344115e-02,0.5472973346,0.6006528662,5.33555316e-02,0.5480339510,7.36616420e-04,0.6160981580,6.88008234e-02,4.96566102e-03,9.08430201e-03,72.433264,0.775507
Z5,16,1.12344115e-02,-0.2420967300,-0.3248633908,8.27666607e-02,-0.2404591825,1.63754751e-03,-0.3320201659,8.99234359e-02,3.35624909e-03,1.32344148e-02,50.543059,0.920413
Z6,16,1.12344115e-02,0.7480519500,0.8733676276,1.25315678e-01,0.7553181028,7.26615283e-03,0.8872742763,1.39222326e-01,5.52151086e-03,1.13176558e-02,17.246496,0.900112
Z7,16,1.12344115e-02,-0.3692496909,-0.4864833529,1.17233662e-01,-0.3663834430,2.86624786e-03,-0.4658588282,9.66091373e-02,7.77667874e-04,7.71646242e-03,40.901439,1.213484
Z8,16,1.12344115e-02,0.6822344803,0.7685323806,8.62979004e-02,0.6805124805,1.72199980e-03,0.7448042470,6.25697667e-02,8.74064463e-04,3.69112156e-03,50.114931,1.379227
Z4Z5,16,1.12344115e-02,-0.5911150493,-0.6218994766,3.07844273e-02,-0.5936167032,2.50165394e-03,-0.6441129193,5.29978700e-02,1.89690382e-03,3.90603769e-03,12.305630,0.580862
Z1,32,2.56905953e-03,-0.4064788463,-0.4749993439,6.85204976e-02,-0.4079953925,1.51654618e-03,-0.4644438199,5.79649736e-02,2.39478144e-03,7.44314890e-03,45.181939,1.182102
Z2,32,2.56905953e-03,0.3476292342,0.3984372851,5.08080510e-02,0.3490919070,1.46267284e-03,0.3912200780,4.35908439e-02,2.08068275e-03,2.24489847e-02,34.736443,1.165567
