n,family,chi,relerr_N,corr_min,dc_max,sqrt_dcNdc,ratio,dc_frac_null,cond_N
4,2-4-8-16,4,10.26895,0.283793,0.2189382,0.003582127859247908,61.11959388461571,0.886142,13907.99
4,2-4-8-16,8,3.162913,0.362194,0.4575727,0.008736083790806953,52.377325007059476,0.208762,153.6237
4,3-8,4,29.02459,0.701752,0.0278343,0.0027755502157230014,10.02838998996437,0.790945,18.22868
4,3-8,8,10.844,0.627624,0.01078353,0.0010753004231376458,10.028388130392871,0.790945,11.88261
4,4-6-8-12,4,93.83929,0.766885,0.8871614,0.003337909525436542,265.7835370429863,0.752627,5240.203
4,4-6-8-12,8,52.46855,0.669831,0.5737895,0.019728986289214153,29.083577411865857,0.789497,3947.029
4,4-8-16,4,80.20711,0.766885,0.2376605,0.0021595629187407344,110.05027820100862,0.875465,3211.59
4,4-8-16,8,40.76076,0.669831,0.2534344,0.01377214943282275,18.401949618408686,0.418857,57.14512
6,2-4-8-16,4,0.9093574,0.086795,0.4642635,0.009712188733751008,47.802149724153246,0.869564,4238.554
6,2-4-8-16,8,0.6021824,0.357583,0.990245,0.029928194065128623,33.08736229941124,0.681571,647.7917
6,2-4-8-16,16,0.1024746,0.200993,0.2272151,0.006812391650514524,33.35320569580567,0.699594,628.8197
6,2-4-8-16,32,0.08524405,0.112366,0.3607473,0.0023672754381355797,152.38923793511648,0.811417,23384.64
6,3-8,4,2.679564,0.516556,0.03843309,0.009450132274206536,4.066936724780074,0.788574,20.77295
6,3-8,8,1.529654,0.594729,0.04030858,0.009911288009133828,4.0669366042893005,0.788574,8.140038
6,3-8,16,0.2530101,0.518381,0.01711833,0.0042091471820310585,4.066935476402091,0.788574,16.25243
6,3-8,32,0.09643773,0.446372,0.02435322,0.005988099030577234,4.066936748314335,0.788574,204.8703
6,4-6-8-12,4,8.527591,0.674117,0.7606818,0.01086494822813252,70.01246430520239,0.276265,1903.965
6,4-6-8-12,8,6.146661,0.765203,1.359692,0.029161565458664936,46.62616627791452,0.928939,962.4315
6,4-6-8-12,16,1.256005,0.603376,1.98017,0.0009789737994451127,2022.6996893301643,0.873667,307.9829
6,4-6-8-12,32,0.2092401,0.686189,0.6718346,0.003999557475521511,167.9772335094142,0.96312,5674.682
6,4-8-16,4,6.866097,0.674117,0.4653995,0.007544344239229808,61.68852921370831,0.861395,950.4448
6,4-8-16,8,4.53779,0.765203,0.9236954,0.030184398287857257,30.601749658584026,0.696397,109.302
6,4-8-16,16,0.963255,0.603376,0.1646726,0.002399735818793394,68.6211368394704,0.775292,60.79948
6,4-8-16,32,0.1733667,0.686189,0.3637254,0.0018682122470426105,194.6916901844419,0.830701,1353.056
8,2-4-8-16,4,1.146617,0.071912,0.3116108,0.006206045439730521,50.210847314313376,0.804578,189.5784
8,2-4-8-16,8,1.141544,0.220173,0.3085671,0.010622043117969349,29.049693789888302,0.70719,302.6943
8,2-4-8-16,16,0.432266,0.107502,0.118019,0.002498649034978702,47.23312411941278,0.782097,471.7318
8,2-4-8-16,32,0.2615332,0.086727,0.4935525,0.008642602038738102,57.10693351235956,0.804861,537.1091
8,2-4-8-16,64,0.02444511,0.160446,0.2542923,0.0011499865216601454,221.12633079638027,0.820289,12553.3
8,2-4-8-16,128,0.004368422,0.215349,0.1771272,0.0007837216342554288,226.0077969753622,0.821943,81029.97
8,3-8,4,3.488629,0.47136,0.01949199,0.004992327112680018,3.904389588272826,0.785516,10.60933
8,3-8,8,2.155924,0.623254,0.02507072,0.006421161888630437,3.9043899585200004,0.785516,8.932015
8,3-8,16,0.9742893,0.438259,0.03128778,0.008013487380660182,3.904390000726799,0.785516,13.45344
8,3-8,32,0.4160546,0.473635,0.03791495,0.009710850117265739,3.9043904027092147,0.785516,27.3901
8,3-8,64,0.04148771,0.493747,0.0009636758,0.0002468185163232289,3.904390214946387,0.785516,104.7185
8,3-8,128,0.005697821,0.540506,0.0008262777,0.00021162785733452012,3.904390047733191,0.785516,342.8293
8,4-6-8-12,4,11.7629,0.632817,2.485395,0.002710713928100861,916.8783818295719,0.945892,63.59383
8,4-6-8-12,8,8.964572,0.739892,2.067185,0.006075158434148035,340.2684921565995,0.868802,300.2205
8,4-6-8-12,16,3.355279,0.553967,2.120945,0.004428372161415524,478.9446150167384,0.957981,80.71825
8,4-6-8-12,32,1.192938,0.643082,2.384812,0.008621345602630717,276.6171442277292,0.959939,172.1035
8,4-6-8-12,64,0.1300041,0.613095,2.779153,0.0004802903288636989,5786.402167570384,0.895421,1618.364
8,4-6-8-12,128,0.008010126,0.652369,1.823565,0.001087387695350651,1677.0145623286212,0.928525,25822.1
8,4-8-16,4,9.828937,0.632817,0.2844549,0.0016766460568647158,169.65709538715834,0.814357,58.97768
8,4-8-16,8,7.060697,0.739892,0.3199372,0.01029990776657733,31.062142229873135,0.703867,65.94799
8,4-8-16,16,2.638018,0.553967,0.1053629,0.0011254838959309902,93.61564424059995,0.793143,69.42133
8,4-8-16,32,0.9932864,0.643082,0.5064568,0.006020592994049672,84.12075031488527,0.788505,46.50206
8,4-8-16,64,0.1077906,0.613095,0.2458828,0.0013219962178463295,185.99357296238628,0.81921,648.7269
8,4-8-16,128,0.00719289,0.652369,0.1504824,0.0007991250215078989,188.3089578599968,0.820682,4013.342
10,2-4-8-16,4,4.192684,0.013344,0.07997673,0.019442602706427965,4.113478591709263,0.776246,363.6521
10,2-4-8-16,8,4.383136,0.120768,0.3732495,0.02033666147626006,18.35352869671906,0.896224,57.22031
10,2-4-8-16,16,0.9200952,0.045583,0.3302775,0.009148918515321907,36.10016850044916,0.800196,107.0591
