n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,err_dmpf_cl,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,16,no,NaN,Z_mid,-0.3065264873,2.71791177e-01,1.86102717e-03,2.51603477e-01,146.043637,2.09240951e-05,1.69175942e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,ZZ_mid,-0.7328764993,1.02063290e-01,5.01976934e-03,9.30758243e-02,20.332267,1.48937163e-04,5.91335126e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z_mean,0.0295544665,7.85277832e-03,6.53428700e-13,4.50209299e-03,12017804423.893398,6.50878657e-13,6.52755627e-13,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z1,0.4276526252,1.53359493e-01,1.49547376e-04,1.37553874e-01,1025.491035,1.15679517e-05,4.20752734e-05,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z2,-0.5198052057,1.03901599e-01,2.49018797e-03,1.06427255e-01,41.724400,3.74538422e-05,2.12379091e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z3,0.2611888353,1.70187520e-01,4.26375941e-03,1.16164514e-01,39.914898,6.56613896e-05,3.68433101e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z4,-0.1237014696,1.63410855e-01,3.27879430e-03,9.27830567e-02,49.838703,4.64133504e-05,2.80084023e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z5,-0.3065264873,2.71791177e-01,1.86102717e-03,2.51603477e-01,146.043637,2.09240951e-05,1.69175942e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z6,0.2776169085,1.78893262e-01,4.12947220e-03,1.83599557e-01,43.321096,1.19161600e-04,4.88208289e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z7,-0.3909879863,2.95774846e-01,3.85227492e-03,2.73905873e-01,76.779267,1.38042528e-04,4.46734224e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z8,0.4028374190,3.05330321e-01,8.81488596e-04,2.89401345e-01,346.380341,5.35507225e-05,1.07849478e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z9,-0.4509310272,1.96000837e-01,2.68235442e-04,1.87597336e-01,730.704470,5.06033509e-06,8.20494172e-04,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,4-8-16,3,16,no,NaN,Z10,0.7182010527,1.44580934e-01,4.10715310e-03,1.40576780e-01,35.202227,9.04279860e-05,3.64687609e-03,1.174903e+01,false,5.939083e+00,6.910538e-01,5.670315e-04,0.854889,0.613587,20.1
10,3-8,2,16,no,NaN,Z_mid,-0.3065264873,2.71791177e-01,4.60320293e-03,2.15003724e-01,59.043927,1.85171843e-03,6.90707152e-03,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,ZZ_mid,-0.7328764993,1.02063290e-01,1.03502978e-02,8.42176985e-02,9.860904,8.22998814e-03,2.59079130e-02,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z_mean,0.0295544665,7.85277832e-03,6.57369992e-13,3.46054128e-03,11945751129.902967,6.56634469e-13,6.57984084e-13,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z1,0.4276526252,1.53359493e-01,8.45891061e-04,1.31581327e-01,181.299343,2.33513030e-03,4.01076351e-04,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z2,-0.5198052057,1.03901599e-01,6.47287496e-03,9.77594163e-02,16.051847,4.14026026e-03,8.42601615e-03,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z3,0.2611888353,1.70187520e-01,1.09040017e-02,7.24091905e-02,15.607804,6.38092814e-03,1.46912544e-02,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z4,-0.1237014696,1.63410855e-01,8.48500790e-03,4.80479954e-02,19.258775,5.32732824e-03,1.11289912e-02,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z5,-0.3065264873,2.71791177e-01,4.60320293e-03,2.15003724e-01,59.043927,1.85171843e-03,6.90707152e-03,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z6,0.2776169085,1.78893262e-01,8.57460271e-03,1.40889889e-01,20.863155,6.76912464e-03,2.14221879e-02,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z7,-0.3909879863,2.95774846e-01,7.90386613e-03,2.43941171e-01,37.421540,5.83552445e-03,1.94081106e-02,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z8,0.4028374190,3.05330321e-01,1.59923925e-03,2.58456105e-01,190.922228,2.08638515e-03,4.68528036e-03,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z9,-0.4509310272,1.96000837e-01,3.80148624e-05,1.71954629e-01,5155.900206,5.00282411e-03,4.25880206e-03,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,3-8,2,16,no,NaN,Z10,0.7182010527,1.44580934e-01,1.00431540e-02,1.38765011e-01,14.395969,4.58608726e-03,1.46124564e-02,6.971631e+00,false,2.250078e+00,6.115011e-02,1.214791e-03,0.778975,0.446228,20.1
10,4-8-16,3,32,no,NaN,Z_mid,-0.3065264873,1.80427060e-01,2.03964607e-03,1.49438018e-01,88.459984,2.09240951e-05,1.69175942e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,ZZ_mid,-0.7328764993,1.14130750e-01,1.61489662e-02,1.15105761e-01,7.067372,1.48937163e-04,5.91335126e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z_mean,0.0295544665,2.93696065e-03,6.51555199e-13,5.19480523e-03,4507616022.333630,6.50878657e-13,6.52755627e-13,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z1,0.4276526252,1.04306337e-01,1.23697162e-03,1.17875931e-01,84.323953,1.15679517e-05,4.20752734e-05,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z2,-0.5198052057,8.29032458e-02,1.57137269e-03,9.04950829e-02,52.758487,3.74538422e-05,2.12379091e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z3,0.2611888353,7.48854812e-03,3.07350084e-03,2.27211522e-02,2.436488,6.56613896e-05,3.68433101e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z4,-0.1237014696,1.97849022e-02,2.11348478e-03,2.62521820e-03,9.361270,4.64133504e-05,2.80084023e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z5,-0.3065264873,1.80427060e-01,2.03964607e-03,1.49438018e-01,88.459984,2.09240951e-05,1.69175942e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z6,0.2776169085,9.84948886e-02,1.34359798e-02,6.99982943e-02,7.330681,1.19161600e-04,4.88208289e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z7,-0.3909879863,2.32791441e-01,1.17537603e-02,1.71278742e-01,19.805699,1.38042528e-04,4.46734224e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z8,0.4028374190,2.31580474e-01,3.08138743e-03,1.73836009e-01,75.154611,5.35507225e-05,1.07849478e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z9,-0.4509310272,2.45696046e-01,4.97778439e-03,1.82966698e-01,49.358515,5.06033509e-06,8.20494172e-04,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,4-8-16,3,32,no,NaN,Z10,0.7182010527,2.50793036e-01,3.67379692e-03,1.60424320e-01,68.265351,9.04279860e-05,3.64687609e-03,4.249707e+01,false,1.862329e+00,9.055953e-01,1.090580e-03,0.778743,0.713815,60.5
10,3-8,2,32,no,NaN,Z_mid,-0.3065264873,1.80427060e-01,1.35727021e-03,1.19502320e-01,132.933781,1.85171843e-03,6.90707152e-03,2.501953e+01,false,9.573434e-01,7.131787e-02,1.652357e-03,0.778975,0.500457,60.5
10,3-8,2,32,no,NaN,ZZ_mid,-0.7328764993,1.14130750e-01,2.98997182e-02,1.30902367e-01,3.817118,8.22998814e-03,2.59079130e-02,2.501953e+01,false,9.573434e-01,7.131787e-02,1.652357e-03,0.778975,0.500457,60.5
10,3-8,2,32,no,NaN,Z_mean,0.0295544665,2.93696065e-03,6.55780985e-13,5.44002008e-03,4478569400.274109,6.56634469e-13,6.57984084e-13,2.501953e+01,false,9.573434e-01,7.131787e-02,1.652357e-03,0.778975,0.500457,60.5
