n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
8,4-8-16,3,16,no,6.125618e-03,Z_mid,0.5472968202,4.88136002e-02,5.52886672e-04,88.288618,1.37269516e-05,1.85901616e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,ZZ_mid,-0.5911151966,2.38388883e-02,1.43984372e-04,165.565804,2.45305318e-05,1.34601135e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,Z_mean,0.1392920236,4.76127593e-03,5.47228929e-13,8700702167.354687,5.46174217e-13,5.52058399e-13,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,Z1,-0.4064784575,6.52218969e-02,1.34313558e-05,4855.942907,1.10493545e-05,1.11442886e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,Z2,0.3476279498,5.66261323e-02,6.76329678e-04,83.725636,1.50322360e-05,5.62776983e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,Z3,-0.1930512129,9.06759227e-02,4.55908304e-04,198.890702,9.92883058e-06,2.88917543e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,Z4,0.5472968202,4.88136002e-02,5.52886672e-04,88.288618,1.37269516e-05,1.85901616e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,Z5,-0.2420958587,8.01185858e-02,5.27598253e-04,151.855290,2.38593918e-05,2.61300088e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,Z6,0.7480519530,1.23190859e-01,1.30120303e-04,946.745868,5.90578843e-06,2.53501122e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
8,4-8-16,3,16,no,6.125618e-03,Z7,-0.3692488824,1.19365264e-01,1.64198820e-04,726.955676,2.80992833e-05,1.43034509e-03,6.942133e+01,false,2.638018e+00,1.053629e-01,1.266714e-06,0.793143,0.553967,69.9
