n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s,
10,4/8/2016,3,16,no,1.61E-02,Z_mid,-0.306526487,2.45E-01,3.33E-03,73.776154,2.09E-05,1.69E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,ZZ_mid,-0.732876499,1.19E-01,1.89E-02,6.314263,1.49E-04,5.91E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,8-Mar
10,4/8/2016,3,16,no,1.61E-02,Z_mean,0.029554467,6.35E-03,6.10E-13,10420570041,6.14E-13,6.08E-13,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z1,0.427652625,1.33E-01,1.04E-03,128.356992,1.16E-05,4.21E-05,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z2,-0.519805206,1.15E-01,3.36E-03,34.373779,3.75E-05,2.12E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z3,0.261188835,1.29E-01,6.10E-03,21.055167,6.57E-05,3.68E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z4,-0.12370147,1.06E-01,4.46E-03,23.783581,4.64E-05,2.80E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z5,-0.306526487,2.45E-01,3.33E-03,73.776154,2.09E-05,1.69E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z6,0.277616909,1.73E-01,1.57E-02,11.004273,1.19E-04,4.88E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z7,-0.390987986,2.66E-01,1.39E-02,19.123381,1.38E-04,4.47E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z8,0.402837419,2.61E-01,3.53E-03,74.0493,5.36E-05,1.08E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z9,-0.450931027,1.58E-01,4.89E-03,32.242291,5.06E-06,8.20E-04,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,4/8/2016,3,16,no,1.61E-02,Z10,0.718201053,1.31E-01,6.53E-03,20.02947,9.04E-05,3.65E-03,2.80E+01,FALSE,5.63E+00,3.22E-01,1.82E-03,0.572776,0.555412,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z_mid,-0.306526487,2.45E-01,1.47E-03,167.317145,1.85E-03,6.91E-03,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,ZZ_mid,-0.732876499,1.19E-01,1.08E-02,11.026312,8.23E-03,2.59E-02,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z_mean,0.029554467,6.35E-03,6.05E-13,10493605280,6.06E-13,6.08E-13,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z1,0.427652625,1.33E-01,2.54E-03,52.429647,2.34E-03,4.01E-04,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z2,-0.519805206,1.15E-01,3.81E-03,30.238468,4.14E-03,8.43E-03,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z3,0.261188835,1.29E-01,5.75E-03,22.356437,6.38E-03,1.47E-02,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z4,-0.12370147,1.06E-01,4.89E-03,21.720692,5.33E-03,1.11E-02,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z5,-0.306526487,2.45E-01,1.47E-03,167.317145,1.85E-03,6.91E-03,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z6,0.277616909,1.73E-01,8.91E-03,19.38002,6.77E-03,2.14E-02,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z7,-0.390987986,2.66E-01,7.76E-03,34.244693,5.84E-03,1.94E-02,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z8,0.402837419,2.61E-01,2.60E-03,100.431055,2.09E-03,4.69E-03,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z9,-0.450931027,1.58E-01,5.71E-03,27.624123,5.00E-03,4.26E-03,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,8-Mar,2,16,no,1.61E-02,Z10,0.718201053,1.31E-01,3.82E-03,34.199628,4.59E-03,1.46E-02,8.43E+00,FALSE,2.00E+00,8.55E-03,2.38E-05,0.778975,0.389676,1938.1,
10,4/8/2016,3,32,no,3.55E-03,Z_mid,-0.306526487,1.68E-01,2.65E-03,63.382975,2.09E-05,1.69E-03,8.75E+01,FALSE,2.33E+00,4.12E-01,1.23E-03,0.683362,0.626759,1999.9,
10,4/8/2016,3,32,no,3.55E-03,ZZ_mid,-0.732876499,1.14E-01,1.61E-02,7.08634,1.49E-04,5.91E-03,8.75E+01,FALSE,2.33E+00,4.12E-01,1.23E-03,0.683362,0.626759,1999.9,
