n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,16,no,2.892329e-03,Z_mid,0.0450521809,5.70322656e-02,2.08994905e-04,272.888306,5.56633199e-06,3.25077083e-04,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,ZZ_mid,-0.4400287306,4.42710767e-02,4.22437323e-03,10.479916,6.84454007e-05,2.79833993e-03,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z_mean,0.2591817793,4.07060748e-03,1.65922831e-13,24533136590.809635,1.64313008e-13,1.66089364e-13,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z1,0.5528241271,7.62132209e-02,3.59471380e-04,212.014712,7.48038680e-07,3.11622633e-04,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z2,-0.1136137213,5.43019277e-02,4.68974858e-04,115.788569,3.62467186e-05,1.90578709e-03,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z3,0.3263197306,4.93453057e-02,1.02466529e-03,48.157487,5.23238251e-05,3.12562876e-03,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z4,0.2065606881,4.28715626e-02,6.89448133e-04,62.182433,3.28233880e-05,2.18482176e-03,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z5,0.0450521809,5.70322656e-02,2.08994905e-04,272.888306,5.56633199e-06,3.25077083e-04,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z6,0.3309519723,1.80833278e-02,3.26532827e-03,5.537982,6.66329761e-05,3.71485585e-03,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z7,0.0529617514,6.78359904e-02,2.22922439e-03,30.430311,6.16777835e-05,2.81344650e-03,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z8,0.3827838627,2.47709795e-02,9.01076105e-05,274.904410,9.81389210e-06,2.14667094e-05,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z9,0.0189315908,4.84147399e-03,7.02654003e-04,6.890267,1.92516197e-05,6.18591574e-04,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,4-8-16,3,16,no,2.892329e-03,Z10,0.7890456106,8.08136355e-03,9.45566255e-04,8.546586,5.55852775e-05,2.47696875e-03,1.464377e+01,false,3.317078e+00,5.911916e-01,2.164094e-05,0.795848,0.540101,2004.6
10,3-8,2,16,no,2.892329e-03,Z_mid,0.0450521809,5.70322656e-02,3.17514271e-04,179.621109,5.94811341e-05,1.34563828e-03,7.986993e+00,false,1.068623e+00,2.266294e-02,1.419127e-05,0.779138,0.363336,2004.6
