n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
12,0.1167,256,512,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.00,1.00,1,1,1.00000000,0.00000000,0.00000000e+00,false
12,0.1167,256,512,0.05,0.360000,0.18684190,0.20129072,0.20247203,4.00,4.00,4,5,0.88459057,0.00099408,2.52980128e-04,false
12,0.1167,256,512,0.05,0.720000,0.46310007,0.53500606,0.54096944,5.00,5.00,6,8,0.64146101,0.00406094,4.22175969e-03,false
12,0.1167,256,512,0.05,1.080000,0.70748872,0.79794211,1.00759240,6.96,7.00,8,12,0.43132515,0.00625767,1.00245689e-02,false
12,0.1167,256,512,0.05,1.440000,0.92409078,1.06918132,1.20968085,9.46,11.00,11,16,0.33451130,0.00845152,1.82856229e-02,false
12,0.1167,256,512,0.05,1.800000,1.11073051,1.33368754,1.56574032,12.06,14.00,14,21,0.32564071,0.01091217,3.04833309e-02,false
12,0.1167,256,512,0.05,2.160000,1.24878244,1.55313167,1.79879735,14.05,17.00,18,27,0.35337863,0.01430196,5.23637996e-02,false
12,0.1167,256,512,0.05,2.520000,1.37112730,1.71438865,2.02672882,16.55,23.00,23,35,0.35310576,0.01643985,6.91888080e-02,false
12,0.1167,256,512,0.05,2.880000,1.46463888,1.82134993,2.24480359,18.75,31.00,31,42,0.34334567,0.01770397,8.02382646e-02,false
12,0.1167,256,512,0.05,3.240000,1.56860485,1.90487731,2.40933535,19.98,38.00,38,48,0.34128646,0.01797497,8.27134839e-02,false
12,0.1167,256,512,0.05,3.600000,1.62517396,1.93195931,2.54388960,20.47,43.00,43,53,0.35038425,0.01745359,7.79847009e-02,false
12,0.1167,256,512,0.05,3.960000,1.69152403,1.97360708,2.62867484,20.78,47.00,47,55,0.37022113,0.01782732,8.13602095e-02,false
12,0.1167,256,512,0.05,4.320000,1.72165966,1.98622185,2.69822753,20.20,51.00,51,57,0.39582169,0.01774897,8.06466227e-02,false
12,0.1167,256,512,0.05,4.680000,1.76772897,2.00918042,2.72242022,19.73,52.00,52,57,0.40425084,0.01760786,7.93693971e-02,false
12,0.1167,256,512,0.05,5.040000,1.76763303,1.99529365,2.79080011,18.12,39.00,53,58,0.45251305,0.01846523,8.72869937e-02,false
12,0.1167,256,512,0.05,5.400000,1.79611034,2.00246876,2.79509096,17.79,40.00,53,58,0.46315690,0.01802317,8.31576674e-02,false
12,0.1167,256,512,0.05,5.760000,1.76458712,1.96983232,2.81087063,16.44,40.00,53,58,0.48751110,0.01815416,8.43708359e-02,false
12,0.1167,256,512,0.05,6.120000,1.77848978,1.96607393,2.83982991,15.93,39.25,52,58,0.50098176,0.01853343,8.79329785e-02,false
12,0.1167,256,512,0.05,6.480000,1.73455509,1.92962881,2.83276407,14.86,39.25,51,59,0.53180948,0.01914409,9.38230008e-02,false
12,0.1167,256,512,0.05,6.840000,1.71609714,1.89923461,2.85926157,14.25,38.25,53,59,0.54222900,0.01970992,9.94510931e-02,false
12,0.1167,256,512,0.05,7.200000,1.71505777,1.89142524,2.91041690,13.76,31.75,53,59,0.54670242,0.01899966,9.24126453e-02,false
