label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,S_op_mid,S_op_max,S_half_mid,linkdim_mid,linkdim_max,chi_req_mid_1e-06,chi_req_mid_1e-10,chi_req_max_1e-06,chi_req_max_1e-10,trace_re,trace_im,purity,z_mid_re,ceiling_mid,saturated
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,0.0000000000,0.0000000000,0.0000000000,1,1,1,1,1,1,1.0000000000,0.000e+00,1.0000000000,1.0000000000,4096,false
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,0.7792820491,0.8184285963,1.3941112714,40,43,15,34,15,34,0.9999469145,-2.114e-07,0.4979392298,0.7231373682,4096,false
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,1.7120301719,1.7268988899,2.5411203679,124,131,43,106,43,107,0.9999527470,-1.490e-07,0.2579966340,0.3919185602,4096,false
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,2.5623928786,2.6000553709,3.5989396464,256,256,112,254,113,254,0.9999682612,-1.521e-07,0.1358545405,0.3334438322,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,2.400000,3.3473760965,3.4069012491,4.5844761315,256,256,228,256,228,256,0.9998514521,3.590e-07,0.0727471841,0.3226042824,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,3.000000,4.0458082830,4.0949463015,5.4376987770,256,256,253,256,253,256,0.9984809920,-2.908e-05,0.0401972741,0.2965633888,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,3.600000,4.5717451907,4.6753269994,6.0422293906,256,256,256,256,256,256,0.9971400845,-1.625e-04,0.0230745473,0.3076486496,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,4.200000,4.7431129681,4.8560142909,6.3089323429,256,256,256,256,256,256,0.9988788763,-1.695e-05,0.0139079439,0.3463048880,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,4.800000,4.5130424528,4.5607185980,6.2690632293,256,256,256,256,256,256,0.9987321933,5.305e-05,0.0090515249,0.3892467862,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,5.400000,4.0085993054,4.0085993054,6.1138545270,256,256,256,256,256,256,0.9994094199,5.487e-05,0.0065303073,0.4181682286,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,6.000000,3.2560659275,3.2560659275,5.8122140167,256,256,256,256,256,256,1.0003170322,-1.148e-05,0.0053480025,0.4393817565,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,6.600000,2.4075958590,2.4075958590,5.3402554922,256,256,256,256,256,256,1.0000447762,2.159e-05,0.0049915196,0.4668040239,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,7.200000,1.6702544109,1.6702544109,4.7758061515,256,256,256,256,256,256,1.0000179535,1.987e-05,0.0052024358,0.4956721536,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,7.800000,1.1305007973,1.1305007973,4.1962763667,256,256,256,256,256,256,1.0001584251,-1.657e-06,0.0058690247,0.5221820842,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,8.400000,0.7645097996,0.7645097996,3.6318341513,256,256,256,256,256,256,1.0001776635,-5.919e-06,0.0069599136,0.5484414764,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,9.000000,0.5219195503,0.5219195503,3.1106975869,256,256,256,256,256,256,1.0000793514,-2.920e-05,0.0084978557,0.5736716230,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,9.600000,0.3651824899,0.3671061060,2.6374903416,256,256,256,256,256,256,1.0000881576,-2.791e-05,0.0105305736,0.5981382027,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,10.200000,0.2659837487,0.2683178895,2.2213587570,256,256,255,256,255,256,1.0000769782,-6.927e-06,0.0131255158,0.6228079091,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,10.800000,0.2009521740,0.2034788806,1.8743106495,256,256,254,256,254,256,1.0000297261,-1.159e-05,0.0163622674,0.6467621576,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,11.400000,0.1561935084,0.1597345058,1.5881127639,256,256,253,256,253,256,1.0000167801,-7.937e-06,0.0203229179,0.6690488449,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,12.000000,0.1242143997,0.1287243220,1.3467608983,256,256,250,256,250,256,0.9999981399,-8.427e-06,0.0250943538,0.6897292885,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,12.600000,0.1004325645,0.1040748020,1.1441679767,256,256,245,256,245,256,0.9999923309,-3.570e-06,0.0307582637,0.7091438562,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,13.200000,0.0826423571,0.0848524399,0.9799720570,256,256,237,256,237,256,1.0000087927,4.899e-06,0.0373878581,0.7273581428,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,13.800000,0.0691918113,0.0712770346,0.8473283481,256,256,226,256,226,256,1.0000118773,3.193e-06,0.0450496829,0.7442573462,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,14.400000,0.0584365560,0.0601114501,0.7381295897,256,256,209,256,209,256,1.0000080995,1.882e-06,0.0537981451,0.7595854446,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,15.000000,0.0497785124,0.0509579824,0.6458234756,256,256,188,256,188,256,0.9999973364,1.933e-06,0.0636748176,0.7731117392,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,15.600000,0.0428118193,0.0433512127,0.5686213406,256,256,162,256,162,256,1.0000021482,2.295e-07,0.0747018143,0.7851272722,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,16.200000,0.0369800628,0.0370473101,0.5044576485,256,256,134,256,134,256,1.0000023858,2.032e-06,0.0868875053,0.7963885629,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,16.800000,0.0319591393,0.0319591393,0.4497718122,256,256,106,256,106,256,0.9999980816,-7.825e-07,0.1002253267,0.8073455372,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,17.400000,0.0275967901,0.0276414996,0.4018733875,256,256,83,256,83,256,0.9999981680,4.552e-07,0.1146906094,0.8179844188,4096,true
open_n12_g0p100_g0p10,12,0.100000,0.500000,true,2,256,1.000e-12,0.05000,18.000000,0.0238862322,0.0239558807,0.3596108754,256,256,64,256,64,256,0.9999987395,-2.274e-08,0.1302441099,0.8281134004,4096,true
