label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,bond,S_op_bond,S_half_bond,linkdim_bond,chi_req_1e-06,chi_req_1e-10,ceiling_bond
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,1,0.0000000000,0.0000000000,1,1,1,4
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,2,0.0000000000,0.0000000000,1,1,1,16
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,3,0.0000000000,0.0000000000,1,1,1,64
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,4,0.0000000000,0.0000000000,1,1,1,256
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,5,0.0000000000,0.0000000000,1,1,1,64
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,6,0.0000000000,0.0000000000,1,1,1,16
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,7,0.0000000000,0.0000000000,1,1,1,4
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.400000,1,0.4698389258,0.9384167292,4,4,4,4
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.400000,2,0.4548958729,0.9807124845,16,10,15,16
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.400000,3,0.4542018666,0.9804117205,26,10,21,64
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.400000,4,0.4550755589,0.9807207083,26,10,21,256
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.400000,5,0.4542018731,0.9804116414,26,10,21,64
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.400000,6,0.4548952746,0.9806945134,16,10,15,16
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.400000,7,0.4698222680,0.9383624501,4,4,4,4
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.800000,1,1.1495523026,1.5082080824,4,4,4,4
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.800000,2,1.1007140047,1.7842518961,16,15,16,16
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.800000,3,1.0995801731,1.7911592870,51,21,43,64
open_n8_g0p050_g0p05,8,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.800000,4,1.1007026178,1.7911869397,60,21,49,256
