label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,bond,S_op_bond,S_half_bond,linkdim_bond,chi_req_1e-06,chi_req_1e-10,ceiling_bond
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,1,0.0000000000,0.0000000000,1,1,1,4
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,2,0.0000000000,0.0000000000,1,1,1,16
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,3,0.0000000000,0.0000000000,1,1,1,64
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,4,0.0000000000,0.0000000000,1,1,1,256
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,5,0.0000000000,0.0000000000,1,1,1,64
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,6,0.0000000000,0.0000000000,1,1,1,16
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.000000,7,0.0000000000,0.0000000000,1,1,1,4
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.400000,1,0.4699737006,0.9385256096,4,4,4,4
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.400000,2,0.4550247401,0.9808655422,16,10,15,16
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.400000,3,0.4543303002,0.9805925592,49,10,22,64
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.400000,4,0.4552049352,0.9809084226,49,10,22,256
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.400000,5,0.4543303002,0.9805925592,49,10,22,64
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.400000,6,0.4550247400,0.9808655422,16,10,15,16
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.400000,7,0.4699737006,0.9385256096,4,4,4,4
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.800000,1,1.1504285516,1.5085931963,4,4,4,4
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.800000,2,1.1015987687,1.7849674163,16,15,16,16
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.800000,3,1.1005002782,1.7921306843,64,21,45,64
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.800000,4,1.1016279490,1.7922247986,121,21,56,256
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.800000,5,1.1005002782,1.7921306843,64,21,45,64
closed_n8,8,0.000000,0.500000,false,2,256,1.000e-12,0.05000,0.800000,6,1.1015987687,1.7849674163,16,15,16,16
