k,t,theta,p,pop_q0_mpdo
2,0.0000,0.000000,0.000000,1.00000000
2,2.5000,0.625000,0.075151,0.33738979
2,5.0000,1.250000,0.144655,0.09932795
2,7.5000,1.875000,0.208935,0.02643687
2,10.0000,2.500000,0.268384,0.32049773
2,12.5000,3.125000,0.323366,0.45783332
2,15.0000,3.750000,0.374216,0.25467805
2,17.5000,4.375000,0.421244,0.01622742
2,20.0000,5.000000,0.464739,0.03143867
2,22.5000,5.625000,0.504964,0.09460451
2,25.0000,6.250000,0.542167,0.20869066
8,0.0000,0.000000,0.000000,1.00000000
8,2.5000,0.156250,0.019342,0.40007373
8,5.0000,0.312500,0.038309,0.42461954
8,7.5000,0.468750,0.056910,0.32424877
8,10.0000,0.625000,0.075151,0.07237370
8,12.5000,0.781250,0.093039,0.02275090
8,15.0000,0.937500,0.110582,0.04073567
8,17.5000,1.093750,0.127784,0.27416297
8,20.0000,1.250000,0.144655,0.10343999
8,22.5000,1.406250,0.161199,0.05497599
8,25.0000,1.562500,0.177422,0.20891981
15,0.0000,0.000000,0.000000,1.00000000
15,2.5000,0.083333,0.010363,0.40269095
15,5.0000,0.166667,0.020618,0.44258295
15,7.5000,0.250000,0.030767,0.32982083
15,10.0000,0.333333,0.040811,0.13408496
15,12.5000,0.416667,0.050750,0.11530364
15,15.0000,0.500000,0.060587,0.01381220
15,17.5000,0.583333,0.070322,0.00075005
15,20.0000,0.666667,0.079956,0.02907885
15,22.5000,0.750000,0.089490,0.14724733
15,25.0000,0.833333,0.098925,0.06133197
